"CandidateID","Additional-Info","Skills","Work-Experience__Company","Work-Experience__Job-Description","Work-Experience__Job-Duration","Work-Experience__Job Title","Location","Education__Institute","Education__School-Duration","Education__Qualification","Resume-Summary"
"7","None","People Oriented and Excellent Verbal and Written Communication skills. (4 years)","Aegis Ltd - Bangalore, Karnataka","None","August 2013 to November 2016","Customer Support Specialist","Bangalore, Karnataka","Bangalore University","None","B.Com","None"
"9","Additional Information Looking for customer support profile (Inbound or Outbound ) - Voice Process .   Interested for both domestic and International Process","Microsoft Office (4 years)","LensKart.com - Faridabad, Haryana && MNR Solutions","1. Handling Inbound Process (Voice Process) or B2C for Lenskart  2. Handling all the escalations, taking care of outbound process whenever required.  3. Efficient dealing of complaints and full information about products and services of Lenskart to completion and enabling satisfaction of customer. && None","July 2016 to Present && October 2010 to December 2011","Customer Support Specialist && Coordinator","Faridabad, Haryana","MDU","None","BBA","None"
"11","None","Operation management, Supply Chain management Client and partner service delivery management, Vendor management (6 years)","Cisco Systems - Bangalore, Karnataka && INFOSYS BPO LTD","• Designation: Customer & Partner Experience Specialist (Randstad contract)  Job Profile:  • Co-ordinate with customer, partners, sales team to meet commit and Back office team to resolve issues in order and Manufacturing and logistics team to expedite & fast shipment and work with carriers (e.g. DHL/expeditors) to deliver goods without any damage/delay.  • Work with order submission and technical team on B2B rejections. Training customer on CCW order submission and case management via CRM.  • Co-ordinate with escalation team (SDEM) to avoid customer satisfaction issue, partner and Asset recovery team on trade-in & damaged goods, collection team to assign credit to sales team & resolve invoice disputes to issue credit/debit memo.  • Working on forecast deals and opportunities and monitoring the orders very closely to avoid de booking. To deliver excellent E2E support to customer to maintain good relationship.  • I have experience in partners/Customer/Disti support to Telstra, SPARK, AT&T, Verizon, Vocus, Optus, Vodafone, NBN and Orange. && Job Profile:  • Co-ordinated with customers as well as XSRM and Cross-functional teams to resolve different booking issues with in commit SLA.  • Deal with Customers/ Account Managers/Customer Service Specialist's on daily basis to resolve ordering issues, escalations, expedites customer's specific requirements and process improvements via emails and messenger tool.  • Mentor the team, driving the team in healthy environment to avoid negative impact on SOX and to achieve CSAT  • Handle calls with client/customer to resolve extremely urgent issues.","August 2014 to Present && July 2010 to June 2014","Customer and partner experience specialist && Senior Process Executive","Bangalore, Karnataka","GOVT Degree College, Andhra University && Santhi Niketan Junior college && Scholars Public School && Indian Institute of Management and research Technology Bangalore, Karnataka","2010 && 2007 && 2005 && None","B.S.C in Microbiology && Class XII && Class X && MBA - pursuing in Supply Chain Management","I have distinguished career of 6+ years in leadership roles with insightful exposure to knowledge of Sales Operations, Partner operations - Order Management, Transitions & Transformation, Customer Relationship Management, Client Interaction & Satisfaction, Service Delivery, Supply chain management & Process Developments.    Willing to take challenges, Good grasping power, bound to the values."
"13","None","MS Office, Out Sourcing, Social Media, Customer Service, Technical Support (8 years)","Intuit India Software && IBM GPS && Convergys India Pvt Ltd","• Working as Technical Support Tier 2 for Accountants and SMB.  • Proficient in supporting software issues on Live Community Forum and Specializes in troubleshooting Cloud Based Software.  • Providing the extensive training to Paid Customers.  • Providing support on QuickBooks Online software on Android and IOS.  • Resolve customer issues in a clear, courteous and straightforward manner.  • Identify and solve technical issues with a variety of diagnostic tools.  • Answer telephone calls promptly and minimize delays that could lead to abandoned calls.  • Managed customers' expectations and experience to a high degree of customer satisfaction. && • Providing coaching and managing newly joined team member's and handling the escalation calls.  • Handling Supervisory calls for team members.  • Attending the weekly Calibration Calls with UK clients.  • Addressed and resolved customer product complaints empathetically and professionally.  • Gathered and verified all required customer information for tracking purposes.  • Defused volatile customer situations calmly and courteously.  • Accurately documented, researched and resolved customer service issues.  • Resolved service, pricing and technical problems for customers by asking clear and specific questions.  • Managed high call volume with tact and professionalism. && • Effectively managed a high-volume of inbound customer calls.  • Identified chronic customer issues by creating and maintaining customer complaint log.  • Referred unresolved customer grievances to designated departments for further investigation.  • Resolved service, pricing and technical problems for customers by asking clear and specific questions.","February 2014 to April 2016 && February 2010 to December 2013 && June 2006 to September 2009","Service & Support Specialist && Sr. Technical Support Officer && Customer Service Representative","New Delhi, Delhi","Chitransh A.D. College","2001","Bachelor of Science","• Team player who is flexible, reliable and adaptable to dynamic environments.  • Analytical thinker effective at technical support and reporting.  • Providing the extensive training to Paid Customers.  • Proficient in supporting software issues on Live Community Forum and Specializes in troubleshooting Cloud Based Software.  • Energetic with strong time management skills who thrives in a fast-paced, dynamic environment.  • Dedicated Customer Service Representative who provides exceptional customer service through active listening and problem solving."
"15","Additional Information Area Of Expertise    • Project Planning & Coordination  • Operations  • Translation  • Insurance  • Contract Management  • Sourcing &Procurement  • Customer Service  • Shipping & Logistic  • Offshore Transition  • Banking","PMO , German , Spanish, Advanced Excel","Infosys && Maersk Global Service Center Pvt. Ltd && WNS","Work Profile  ➢ Working with Switzerland client as a PMO on SAP project. Working as a Project Manager in all project management Infosys applications. Performing end-to-end responsibility of project management.  ➢ Opportunity & Milestone Management (Infy CIARA & Deal Pricing System): Working on deals, analyzing on margins to derive the profitability (PAT/PBT) of the projects. Statement of Work (SOW) and Change request (CR) Management and follow-up with client.SOW creation and sign offs and Creating new CR for change in location. Update positive and Negative CR in system  ➢ Order Management System: Master Project code Creation, Child Project code Creation  ➢ Talent Management system: Create demand id as per skill sets and getting demand fulfilled from Talent manager as per project requirement. Demand tracking etc.  ➢ ECMS (External Consultant Management System): Performing end to end activity for Subcons (sub contractual resources) management. Expense and Claims handlings.  ➢ Project Staffing/Resource Management: Allocation and De allocation of Resources, Addition of Skills to Project codes. Handling on & off boarding process as per the checklist to ensure all are completed and documented to create citrix id  ➢ Project Revenue Estimation and Forecast (Project Budgeting System & Best Estimates): Perform project budgeting twice in a month and get it approved from Delivery manager. Share revenue amount to non-project Units on the basis of duration and skills on FP and CTM projects.  ➢ Project Invoicing: Milestone Billing for FP Projects, Effort Billing for TM Projects, Unit of work billing for CTM projects, Invoice generation  ➢ Integrated Project Management (IPM+) and PROMT Quality Tools: Project Creation, Project Mergers, DART activity Management, Generation of Milestone and Metric Reports. Update Project metrics analysis using statistical techniques. Reviewing documentation for accuracy and thoroughness. Measure and track non-compliance thereby strengthening IT risk management. Verify correctness and accuracy of process artifacts. Update Project Milestones like PM Plan, CM Plan.  Reports Management (ITSM and Remedy): Lead initiative to augment the customer's understanding of the importance of applying metrics reporting and architect a reporting solution (develop KPIs, design dashboards, reports and queries for daily, weekly, monthly feedback) to monitor performance and measure key program criteria. Consolidating & submitting the DART (timesheets) report, preparing risk analysis report, financial status report and compliance reporting's. Maintaining report of amount utilization of P.O's.Maintaining resource allocation reports (Onsite/Offshore, Utilization, and Movements)  ➢ SharePoint: Updating all SOW and CR (Draft and Signed copy) on share point, Update Billing summary, revenue report and financial status report every month.  ➢ Project document management: Reviewing SOW's (Statement of Work), Monitoring and controlling CR approval and documenting, Maintaining amount utilization of SOW/CR's on project level.  Working with the CSG Team for contract extension and helping them for drafting contracts/Service Agreements/SOWs/CRs and maintain a repository. Reviewing Off-Boarding & On-Boarding Documents.  ➢ Other Administration / PMO Support Tasks: Handling event management and client visits for the project && Work Profile:  ➢ Nominated as SPOC for Brazil, CAR (Costa Rica, Panama) region.  ➢ Ensure deliverables (Reports & Dashboard) are prepared on weekly and monthly basis for Client as well as for Project Manager.  ➢ Offshore transition of South American shipping Business to Global services Centers  ➢ Monthly team performance presentation, Escalation Handling.  ➢ Establish project scope with customer and coordinate to ensure on-time delivery.  ➢ Plan and schedule project deliverables, goals, and milestones.  ➢ Efficiently identifies and solves project issues.  ➢ Design and maintain project documentation  ➢ Provided guidance and mentoring to peers as needed.  ➢ Process any project closure through governance process with updated documentation review and sign off.  ➢ Timely issuance of PO to vendors, processing of invoices for ensuring timely release of vendor's payments along with their proper tracking versus purchase order issued leading to the closure of the same through SAP.  ➢ Generated many reports like Vendor's Statement, GR Report, IR Report monitoring through BW in SAP.  ➢ Conversant with tracking routine logistic transactions.  ➢ Kaizen Belt project (Improvement in repeat Business) && Work Profile:  ➢ Processing and Identification of various Insurance documents for Third Party and Policy holder Party through RTM, Claim flow and Citrix tool.  ➢ Updating record of Policy holder in RTM system.  ➢ Solving policy holder query queries.  ➢ Interacting with client directly through scheduled daily / weekly Business Conversation (Email)  ➢ Dashboard report, Daily task report.  ➢ Strong organizational, presentation, and customer service skills  ➢ Performing quality checks for team members.  ➢ Troubleshooter for process queries.    Achievements    ❖ Brainstorming Award from WNS.  ❖ Certificated for White-belt from Maersk Line  ❖ 6 Kaizen Awards from Maersk Line  ❖ Certificated for Yellow-belt from Infosys.  ❖ Ramp award for best performer from Infosys.  ❖ Spot award for best support for Project from Infosys.  ❖ Two Extra miler award for project support from Infosys.  ❖ I-star award for best performer from Infosys.  ❖ Certification of Project Management (Infosys)","September 2013 to Present && April 2010 to September 2013 && June 2008 to April 2010","Technology Support Specialist && Process Expert && Senior Associate","Pune, Maharashtra","Pune University Pune, Maharashtra","June 2005 to June 2008","BCS in Computer science","Currently working with Infosys with overall 8+ years of professional experience in Procurement, Insurance, Logistic, Banking, and Pharmacy outsourcing industry. Efficiently and effectively capable of handling project management activities and supporting Project Managers and Group Project Managers in project related activities    • Self-motivated, hardworking and goal-oriented with a high degree of flexibility, creativity, resourcefulness, commitment and optimism  • Result oriented individual with strong analytical and interpersonal skills and a quick learner with high levels of adaptability and ability to take initiative.  • Have team handling and client interfacing skills."
"17","None","SAP, Oracle, Visual Basic, MS office (10+ years)","Nestle Oman Trading LLc - Muscat, Oman && Agility Logistics - Muscat, Oman","• Updating Daily Sales Reports by channel.  • Organize with sales team for Promo activities and creating the monthly planning in the system.  • Coordinate with the management team for day to day reporting  • Updating the monthly forecast details.  • Maintaining MANCOM, MSR &MCR data for sales Channel team.  • Planning Trade deals and maintaining the records on the same.  • Handled credit limit management for the level of customers.  • Support the GBM for his meeting arrangements and day to day activities.  P2P- Procurement to Pay:  • Super user in P2P  • Maintaining the Procurement invoices on daily basis and updating in system for billing.  • Support team in resolving complaints- Assist team on flow improvement and lead time efficiency  • Maintain all related records and reports on Procurement.  • Assist with research and acquiring information as requested for bids and/or proposals on P2P  Supply Chain:  • Oman Super user in Supply Chain  • Detailed knowledge of sales processes from customer service (supply chain) perspective. Work experience includes distribution functions, cross-plant distribution, ATP across plants and delivery procedures.  • Sales/Distribution SD Tested pricing procedures, availability checking, credit management, sales quotes, printing of sales orders.  • Improved service levels CFR (case fill rates) from 70- 98 %  • Invoice Verification. && • SAP- CS Super user (Oman )   • Sales order processing (Using SAP) for all depots.  • Monitor all invoiced orders closely and close the orders with relevant codes.  • Handling of complaints and solving them independently.  • Trained and advised team members on SAP functionality.  • Inter warehouse transfer to different location in Oman.  • Coordinating with the 3rd Party for daily issues regarding deliveries etc.  • Preparing credit notes and CGRF  • Analyze the stocks in the warehouse.  • Preparing Out of stock report  • Maintaining the reports for Daily Stock status and near expiry Stock","October 2011 to March 2015 && August 2006 to September 2011","Sales Support Specialist && Customer Service Executive","Thanjavur, Tamil Nadu","Alagappa University Thanjavur, Tamil Nadu && Periyar Polytechnic Thanjavur, Tamil Nadu","None && None","BCA in Computers && Diploma in Computer Technology in Computers","None"
"19","Additional Information AREAS OF EXPERTISE  IT Networking   IT Operations Management   Technical Support   Policy Formulation","MS-Office 2003, 2007, 2010, 2013 and Open Office (5 years), Lotus Notes installation and configuration. (5 years), Office365 installation and configuration. (1 year), Shawman POS Gold (1 year), Opera and Opera Vision (1 year), FCS (1 year), CCM (1 year), ORION (1 year), ATEMPO (Backup solution) (1 year), WSUS (1 year), Symantec Endpoint Protection (4 years), Biometric attendance machine (1 year), Microsoft Windows 2000, 2003 & 2008 Server (1 year), Microsoft Windows XP, Vista, Win7 (5 years), Microsoft Windows Win8, Win10 & Mac. (1 year), Managing Users, Groups, Computers, Files and Folders access permission, Active Directory, Printer (5 years), Thin client, Computing (L230, L300, X550). (4 years), LAN/WAN/MAN configuration: Leased Line, VPN configuration (5 years), Configuration File Maintenance: Backup, Restore & Upgrade (5 years), Troubleshooting of all laptops (5 years), Troubleshooting of all printers (5 years)","CMS IT Services Pvt. Ltd. Deputed at Taj Umaid Bhawan Palace, Jodhpur. - Jodhpur, Rajasthan && Working as a Desktop Support Engineer- IMPACT Infotect Pvt. Ltd. Deputed at HDFC Standard Life Insurance Company Ltd, Jodhpur & also Managing Pali, Balotra, Ajmer, Kota, Makrana & Sriganganagar Branches. - Jodhpur, Rajasthan && C&T FORCE at Jodhpur - Jodhpur, Rajasthan"," Setting up and managing the IT Infrastructure & operations of the Hotel, according to set policies and guidelines, including Hardware – servers, PCs, network switches, routers, modems, firewalls, etc.   Software – Hotel applications, other applications such as, interactive entertainment, Electronic signage. Communication (Voice & data).   Liaise with Corporate IT, Projects department and vendors for the successful implementation of new systems in the Hotel.   Managing daily IT systems jobs such as support to users on application, backup, data management, data analysis, preventive maintenance, maintaining logs etc.   Coordination with Hardware, application and other vendors to ensure system uptimes.   Monitoring customer calls through CCM.Net.   Managing the store inventory & Spare inventory on monthly basic.   Database Administration as per the corporate policies and procedures. &&  Maintaining and troubleshooting more than 300 Machines. Hardware, Networking and software related all issues on site or via remote access.   Providing support to internal users & employees of company.   Managing SLA more than 98% compliance (Service Level Agreement).   Coordinating several services like Customer support, support application and installations.   Asset management through online.   Monitoring customer calls through E-helpline.   Handling the responsibilities and tasks all over the state.   Dealing with project management and Customer care internal request.   Managing the store inventory & Spare inventory on monthly basic. &&  Speedy resolution of the day to day issues pertaining to business applications, hardware and communications and in room technologies.   Preventative maintenance of all hardware & network audit at regular intervals and also entering into AMCs as appropriate.   Manage and monitor user access rights and e-mail ids.   Installation/Fault Repair of LAN, WAN and Wi-Fi network.    Interacting and working with various ISP Technical Team for the successful running of the Leased Lines, ADSL, Wi-Fi Network and being part of the team implementing changes to the set-up.    My role included installation and configurations of computer hardware and peripherals like printers, modems, network cards, hubs etc. and troubleshooting of Internet, LAN, PC’s and Wi-Fi Networks.   Participated in problem solving teams for product specific problems and development.   Isolated hardware and software problems via telephone interface with customers and escalated findings to appropriate field personnel to rectify problem.","February 2016 to Present && October 2012 to February 2016 && October 2011 to September 2012","Customer Support Engineer && Desktop Support Engineer && System Support Engineer","Jodhpur, Rajasthan","Jai Narayan Vyas University Jodhpur Jodhpur, Rajasthan && Jai Narayan Vyas University Jodhpur Jodhpur, Rajasthan","July 2012 to August 2013 && August 2008 to October 2011","MA in Public Administration && BA in Arts","To associate and contribute my skills and experience for the growth of the company and willing to grow with knowledge as a IT Executive/Manager."
"21","None","Building team work / Microsoft Office / PPS (7 years)","SUTHERLAND GLOBAL SERVICES","2 support.  • Period: February 2012 - May 2013  • Client: INTUIT ( USA)  • Client Profile:  Intuit, is the inventor of the Financial software's like Quickbooks, Quicken and Turbotax, which takes care of the various financial activities of US Business people.    • Process overview & Responsibilities    ➢ Customer service in providing resolution to the customer's queries for the quick books software.  ➢ Taking care of Small business customer service queries like order status, placing orders.  ➢ Updating account information and up selling ( In bound)  ➢ Deliver world class customer service and build customer satisfaction and loyalty.  ➢ Directly Communicate with US clients in case of any clarifications needed from the customers.  ➢ Maintain strict compliance to call handling procedure and Script.  ➢ Assist new Agents based on the ""process"" to get optimized with ""Excellent quality""  ➢ Follow-up done for non-online resolution.  ➢ Report to our clients with emerging issues.    Organization: SUTHERLAND GLOBAL SERVICES  • Designation: Sr. Specialist - Training ( Voice & Accent)  • Period: May 2013 - Till date 2015  • Client: DELL ( USA)  • Client Profile:  Dell, Dell Tech Concierge sales process activities of US people.    • Process overview & Responsibilities    ➢ Take up Voice & Accent training for the new batch for Dell process.  ➢ Screening for new batches.  ➢ Auditing & Coaching for the production floor associates.  ➢ Refresher training given based on the process to the associates.  ➢ Train the associates based on the client requirements.  ➢ Prepare PPT ( Communication) for the process when training required.    Salary Drawn: 25, 000/-    Salary Expected: Negotiable  Date of Joining: To serve 30days notice period.","February 2012 to May 2013","Senior Customer support executive ( QBC Core) - Level","Chitlapakkam, TAMIL NADU, IN","Loreto Day School Kolkata, West Bengal","1993","None","Seeking a position to utilize my skills and abilities in the  Industry that offers professional and growth while being  Resourceful, innovative and flexible."
"27","Additional Information AREAS OF EXPERTISE CAREER HIGHLIGHTS  * TSE  * Business Communications and Marketing  * Trainer    ➢ Blackberry Certified in Airtel and Data Services  ➢ Received appreciations from the Senior Authorities and Clients for excellent prospect and performance  ➢ Also worked for B2B Process for 6 months  ➢ Work for Sekhri Academy as a PTE Trainer and computer trainer for 6 months    TECHNICAL SKILLS    • Application software - MS Word, Excel, PowerPoint  • Operating systems - Windows 95, 98, 2000, XP, 2007, 2010.  • Hardware & Internet Applications - GPRS (Handset & PC Connectivity) with Troubleshooting","ms office, communication skill (2 years)","Kochartech - Amritsar","* Kochar Info-tech Pvt Ltd.  Specialist Training - Blackberry Service (Reporting to Assistant Manger OPS)    * Present Institute I was associated with is Sekhri Academy.    1. Technical Support Executive - (Reporting to Team Leader - Contact Centre):    Key Deliverables:    ✓ Attended on the calls, handled the customers and resolved their queries  ✓ Spread awareness regarding the product to the customers  ✓ Ensured Customer Satisfaction  ✓ Resolve the Customer's problem related with GPRS and Data Card connectivity on call    2. B2B Process    Key Deliverables:    ✓ Handling the domestic B2B marketing  ✓ Market Research  ✓ Deals with B2B Business generation primarily from the Telecom Operators  ✓ Responsible for generating business in the area of Mobility Solution like M2M, DM, Know-Max, Learn-Max etc.  ✓ Responsible for marketing of Application Alliances through Gizmo Control    3. Trainer and Computer: -    Key Deliverables    ✓ Need to trained the trainees for the PTE Classes  ✓ Also help the trainees to improve with their vocabulary and grammatical mistakes","None","Product specialist and Technical support executive","Amritsar, Punjab","BBK DAV College","2014","BCA","☞ Possessing valuable insights, keen analysis and team approach to implement best practices to achieve business excellence  ☞ Adept at working in high pressure environments with strict deadlines and multiple deliverables  ☞ Superior communications and interpersonal skills, multitasking with an ability to interact with a wide range of people"
"34","Additional Information Searching for a immediate permanent job suits to my profile.","Good Communiccations & software skills, Multitasking process (7 years)","Just Dial Ltd - Chennai, Tamil Nadu && Just Dial Ltd - Chennai, Tamil Nadu && Yess0 BPO - Chennai, Tamil Nadu && Yesso Bpo Pvt Ltd - Chennai, Tamil Nadu && Allsec Technologies - Chennai, Tamil Nadu && Computer Hardware && FirstSourceSolutions - Tiruchchirappalli, Tamil Nadu","• Identified and evaluated opportunities improving the process and customer experience  • Assisted the sales team for incoming requests for new services  • Analyzed customer needs and made arrangements adhering to company policies  • Handled escalated and upset calls, maintained and updated the outbound call reports  • Managed to keep records of customer interactions, transactions, complaints, comments as well as actions taken, process orders, forms and applications for online shopping && with aggregate of 65% && • Communicating with clients about new information on new products or services.  • Generating leads and business opportunities.  • Analyzed customer needs and made arrangements adhering to company policies && with aggregate of 57%    DECLARATION  I hereby certify that above information is true to the best of my knowledge and I bear the responsibility for the correctness of the above mentioned particulars.    Place: Trichy && • Managed to keep records of customer interactions, transactions, complaints, comments as well as actions taken, process orders, forms and applications  • Answered calls professionally providing complete information about products, take/order cancels or obtain details about complaints  AnziyanTechnologiesPvt.Ltd Trichy, TN && • Maintenance and installations of all hardware components of PC systems.  • Installing, Configuring and Troubleshooting of Computer Hardware, Printers, Local Area Network at Customer Places  • Installations of Operating Systems like XP and Application like MS-Office, Fedaro.  • Maintaining Active Directory Objects (Users, Groups, Computers)  • Handling the IBM, Compaq, HP desktops and Dell Laptops && • Handled customer interactions  • Handled incoming questions from the clients  • Resolved issues from guests reviews and took appropriate actions accordingly","July 2012 to November 2016 && July 2012 to November 2016 && October 2011 to June 2012 && October 2011 to June 2012 && April 2011 to October 2011 && February 2010 to September 2010 && February 2009 to August 2009","Senior Customer Support Executive && Senior Customer Support Executive && Tele-Sales Executive && Tele Marketing Executive && Customer Service Executive && System Service Engineer && Customer Service Executive","Tiruchchirappalli, Tamil Nadu","PavendarBharathidasan College of Engineering and Technology Tiruchchirappalli, Tamil Nadu","2008","B.E. in Electrical & Electronics","• High-energy, diplomatic customer service specialist with 5+ years' track record of meeting and exceeding sales and customer care objectives.  • Adept at analyzing and resolving customer concerns using established procedures, examining pertinent information to determine validity of customer complaint and to determine responsibility for errors and resolution, throughout the order process.  • Gained extensive knowledge of industry products and services in a small period of time. Verified achiever of performance benchmarks in all areas."
