"CandidateID","Additional-Info","Skills","Work-Experience__Company","Work-Experience__Job-Description","Work-Experience__Job-Duration","Work-Experience__Job Title","Location","Education__Institute","Education__School-Duration","Education__Qualification","Resume-Summary"
"0","Additional Information TECHNICAL SKILLS    Languages: Intermittent in OOPS  Software Packs: MATLAB, XILINX and MS Office  Operating systems: MS windows","Sql Dba (2 years)","Administrator Work At Bharat Electronics Limited, Smart card division ,Bangalore - Chennai, Tamil Nadu","A competent B.E in Electronics and Communication Engineer with 1 year and 6 month of experience in Administrator Work At Bharat Electronics Limited, Smart card division ,Bangalore .","March 2015 to November 2016","SQL Database Administrator","Chennai, Tamil Nadu","Anna University-Arunai College of Engineering Tiruvannamalai, Tamil Nadu && Government Girls Higher Secondary School && Government Higher secondary School","None && None && None","B.E in Electronics and Communication Engineering && None && None","Entry level positions in manufacturing of electronics equipments and testing of equipments in a reputed organization    • B.E. from Anna University - Arunai College of engineering, Tiruvannamalai with exposure to handling of various special electronic devices, computation in MATLAB and troubleshooting through Programmable Logic controller.  • Strong communication, collaboration and interpersonal skills with proficiency in grasping new technical concepts quickly and utilizing them in an effective manner.  • Abilities in handling multiple priorities with a bias for action and a genuine interest in personal and professional development.  AREAS OF EXPOSURE"
"1","None","Database Management (Less than 1 year)","Hewlett Packard Enterprise Pvt. Ltd. - Bangalore, Karnataka","Currently working as a MySQL Database administrator at Hewlett Packard Enterprise HPE.  • Actively tracking incidents and closing them by following up with team   • Recovering the databases from backup in disasters   • Worked as an L2 Database Administrator  • Undergone Sybase and MySQL DBA training.","May 2016 to Present","Database Administrator","Mumbai, Maharashtra","Sheffield Hallam university UK && Rizvi college of engineering mumbai && Kvmit polytechnic mumbai","None && None && None","Msc && B.E computer engineering && Diploma in information technology","None"
"3","Additional Information TECHNICAL SUMMARY  More than 3.4 years of experience in Oracle 10g and 11g Database Administration, Enterprise Manager, RMAN, Backup, Recovery operations    Scheduled, installed, configured, managed and troubleshot Oracle 10g, 11g databases on Linux and Windows OS    Created, tested and developed databases following OFA compliance rules    Experienced in creating databases, table spaces, tables, indexes and other database objects; implement various table partitions for large tables, multiplexing control files and redo log files    Administered database user accounts; created, modified, deactivated user accounts; assigned and monitored access rights    Managed Undo Tablespaces, Schema Objects, Redo Logs, Control files and Archive logs.    Analyzed and monitored tables, indexes based on performance, tablespaces and datafile utilization regularly    Consistently monitored alert log files, trace files, user sessions daily, and took appropriate actions to kill inactive sessions and make systems manipulations based on logs    Configured various RMAN parameters as per required, implemented the use of Oracle Recovery Manager (RMAN) for cold and hot backup to all databases; performed physical backups and database cloning using RMAN utility    Extensively used DATAPUMP and Export/Import utilities for logical backups    Created and rebuilt indexes when necessary; created and tuned various materialized views    SKILLS  Databases: Oracle 10g / 11g.  Tools: rman, imp/exp, Data Pump, Toad, SQL Developer  Operating Systems: Windows […] UNIX, Linux.    STRENGTHS  • Hardworking.  • Excellent technical abilities.  • Remarkable logical and analytical skills.","Oracle DBA (3 years)","Bell Canada","DBA) in ALLWEIRD SOFTWARE PVT. Ltd. from Aug '2013 to Present.    PROJECTS  1. Project: Billing Software of Amdocs  Client: Bell Canada  Role: Database Administrator    Bell Canada project. Bell is leading telecom service provider in Canada. Being a member of this project  we have to provide end to end support to our client (BELL) which include installation of oracle, database creation, tuning the database, tablespace management, user privileges and profiles, provide backup to the clients as well as recovery of the database in case of failure, database performance monitoring, tracing of jobs etc. Bell is basically using ensemble (Billing software of Amdocs) . So we have to also provide support to our development team as well as Bell's testing team. I was also the member of deployment team (Product release of Ensemble), in which I have to apply database patches, perform database sanity etc with respect to changes made by release    2. Project: SmartBuzz Providing System  Client: SmartBuzz  Role: Database Administrator    RESPONSIBILITIES  • Creating User Accounts, Roles, Profiles and monitor users access to database.  • Creation of new tablespaces, schema owners and other database users.  • Granting of roles and privileges to users.  • Create and maintain the Database Structures like Tablespaces, Rollback segments, Undo  Segments, Tables, Indexes etc.  • Setting up logical / physical backups for the database.  • Scheduled hot and cold backups.  • Performing complete / incomplete recovery of the database for the clients.  • Cloning of the database for the Clients.  • Assisting the developers regarding sql tuning.  • To monitor the jobs and check the wait events and suggest the respective teams  accordingly.  • Performing export / import for database restoration.  • Check daily backups and troubleshoot if there is any failure.","August 2013 to Present","Database Administrator","Bangalore, Karnataka","MMHA&P University","None","Bachelor in Computer Applications","An accomplished Oracle Database administrator (DBA) with expertise in technical skills and knowledge fruitful for the growth of the firm."
"5","Additional Information SKILLS:  Database: MS SQL SERVER […]  Tools: SQL Server Management Studio, SQL Server Profiler, Citrix GotoAssist, SQL Monitor, Remedy, ITSM, IServe, Altiris, HPSM and Tivoli  Operating Systems: Windows XP & Windows […]  Programming Lang: T-SQL","MS SQL Server DBA","Infosys Ltd Ltd - Hyderabad, Andhra Pradesh && Tech Mahindra - Hyderabad, Andhra Pradesh && CMC Ltd - Bangalore, Karnataka && CMC Ltd - Hyderabad, Andhra Pradesh","Worked as a Database Administrator in Tech Mahindra Ltd, Hyderabad from May 2014 to Oct 2014. && Worked as an Application Support Engineer in CMC Ltd, Hyderabad from Mar 2008 to Sep 2009. && None && None","November 2014 to Present && May 2014 to November 2014 && April 2010 to May 2014 && March 2008 to March 2010","Database Administrator && Sr.DBA && Database Administrator && Application Support Engineer","Hyderabad, Andhra Pradesh","Osmania University Hyderabad, Andhra Pradesh","2004 to 2007","MCA","• Overall 8.7 years of experience in Information Technology  • Having 6.6 Years of experience in MS-SQL Server […] Database Administration.  • Having experience with installation and configuration of MS SQL   Server 2000, 2005, 2008 and 2012 applying necessary service packs and patches.   • Implemented In-place and Side by Side Migration of MS SQL SERVER 2005 to 2008 R2 and 2008R2 to 2012  • Proficient in configuring, implementing, and monitoring different types of High Availability and disaster recovery scenarios like Always On, Mirroring, Replication, log shipping, and clustering.  • Scheduling Backup and Restoring of Database.   • Created, performed, maintained and tested all backups and Recovery Models.   • Creating logins, users and assigning them permissions on demand.  • Involved in restore operations to refresh the data from production to test servers.  • Management of Database Space, Growth Monitoring of Data & Transaction log files. Monitoring Log files for security and troubleshooting purposes.  • Monitoring Disk Space of all the Servers and freeing up space as per SQL Server i.e. Older Backups, Unused Files etc.   • Involved in optimizing code and improving efficiency in databases including indexing, updating statistics and performing other maintenance tasks.   • Experience on Trouble shooting and resolution for Database issues.   • Monitoring SQL server performance using profiler to find performance and deadlocks and experience on performance tuning and day-to-day database monitoring activities.   • Monitoring and managing the process of job flow and getting all jobs executed within target time and SQL Server jobs monitoring, Job failures and root cause analysis.   • Experience on Production support as per on Requirements basis."
"6","Additional Information TECHNICAL SKILLS    • Programming Skills: Java  • Database: Mysql.  • IDEs: Sql server 2008, Dreamweaver, Netbeans.  • Operating Systems: Windows, Linux.","mysql, Java, Hadoop (2 years)","Chirayu Medical College and Hospital - Bhopal, Madhya Pradesh","Chirayu Medical College and Hospital (CMCH) Role: Database Administrator  Project: Hospital Information System (HIS)  Description:  The objective of the project is to manage the information of the patient. The patient information is taken into the system and maintained through all the processes until the decision is taken.  Responsibilities:  • Understand the user requirement.  • Implement on the requirement.  • Created user manual for the software.  • Provide training to the users for handling software.  Tools: SQL, Visual Basic, Dot Net.    Chirayu Cancer Hospital (CCH)  Project: Doctor-G Hospital Management System (HMS) Description:  The objective of the project is to manage the information of the patient. The patient information is taken into the system and maintained through all the processes until the decision is taken.  Responsibilities:  • Understand the user requirement.  • Implement on the requirement.    • Created user manual for the software and Provide training to the users for handling software.  Tools: SQL, Visual Basic, Dot Net.","September 2014 to June 2016","Database Administrator","Bhopal, Madhya Pradesh","Lakshmi narain college of technology and science, bhopal Bhopal, Madhya Pradesh && Govt. Boys H. S. School Bhopal, Madhya Pradesh","July 2009 to June 2013 && 2009","BE in Information Technology && HSC","My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company's productivity and reputation."
"10","Additional Information CORE COMPETENCIES  • Have been working as a IBM DB2 and Oracle DB Admin.  • Expertise in DB2 Installation and Upgrade of DB2, all basic transactional activities of DB2 and Oracle.  • Have been working on DB maintenance activities like  * Database Backup,  * Database Monitoring,  * Health Check-up,  * Query and Performance Tuning,  * DB refresh (RMAN Refresh for Oracle),  * Recovery for both DB2 and Oracle.  * Table level backup (export & import) for Issue Triage.  • Have been performing Health Check-up for Oracle database,  * File System Check,  * Database Status (whether DB is up and running or not),  * Invalid Objects & Locked Objects  * Long Running Queries,  * Backup Images and Archive Logs Movement to TSM Server,  * Tablespace Usage,  * Datafile Size Check,  * Temporary Datafile Usage Check (Whether Autoextensible or Not),  * Tracking Database Size and Table Size on everyday basis,  * User List Tracking (SOX)  * Lcount for Users  • Automated many activities using Shell Scripting to avoid Manual Effort.  • Taking ownership of all the activities from DBA end like DB refresh, preparing DDL, executing DDL, DML & DCL and code migration while handling releases.  • Have worked on OPTIM Tool to perform Archive and Purge of data as a part of DB Maintenance release for both DB2 and Oracle.  • Troubleshooting.    TECHNICAL SKILLS    Languages SQL  Database Tools& Technologies IBM DB2, Oracle database 11g  Scripting Language Unix Shell Scripting  Tools Putty, Optim, Version Control Tool, SQL Developer  Domains Worked Health & Public Insurance","Db2 (3 years), Oracle Dba (3 years), Unix Shell Scripting (3 years)","Accenture Service Pvt Ltd","Technology IBM DB2, Oracle, UNIX Scripting  Duration February 2014 - October 2016  Role Database Administrator Team Size 10    Project Description:  Kaiser Permanente is an integrated managed care consortium, based in Oakland, California, United States. It sells health insurance plan through brokers to the public and Kaiser offers compensation to the Brokers selling its insurance plans. I have been supporting 2 Applications under Kaiser Permanente, i.e. National Pricing System and Broker Compensation Services    Responsibilities:  ✓ Database Installation, Upgrading and Configuring DB2.  ✓ Database Maintenance like Monitoring DB Backup, Health Check-up, Performance Tuning, Fine tuning Complex Queries, Reorg and Runstats, Rebind, DB Refresh for both DB2 and Oracle.  ✓ Database Transactional Activities like making DDL, DML and DCL changes as a part of Releases.  ✓ Working closely with Development, testing and Production Support during Releases for all the DB activities.  ✓ Supporting Production Environment for two Applications using IBM DB2 database and Oracle Database.  ✓ Expertise in Unix Shell Scripting and automating processes to avoid Manual Effort.  ✓ Troubleshooting  ✓ Handling Optim tool for performing Archive and Purge of Data every Quarter for both DB2 and Oracle database.","February 2014 to October 2016","Database Administrator","Gurgaon, Haryana","West Bengal University of Technology Hugli, West Bengal","August 2009 to June 2013","B.Tech in Computer Science","• Have 3.2 years of work experience in IBM DB2 database and Oracle Database as Database Administrator.  • Expertise in DB2 Installation and Upgrade of DB2.  • Expertise in all basic transactional activities and DB maintenance activities of DB2 and Oracle.  • Have supported Production Environment efficiently without any escalation.  • Expertise in Shell Scripting."
"11","None","Oracle Dba (2 years), Sql (2 years)","Tera Software Limited - Mumbai, Maharashtra","Oracle Database Administrator with 1.7+ yrs of Experience, B.Tech/B.E. in Information Technology currently living in Mumbai.","June 2016 to Present","Oracle Database Administrator","Mumbai, Maharashtra","St.Martin's Engineering Colloge (JNTUH). Hyderabad, Andhra Pradesh","2011 to 2015","B.Tech in Information Technology","None"
"19","None","Oracle DBA (1 year), Oracle (1 year), Unix Shell Scripting (1 year), Windows server (1 year), Suse Linux (1 year)","NIIT Technologies","Over 15 months of IT experience in ""Manage Services"" includes 12 month dedicated  experience as ""Oracle Database Administrator"" with proficiency in ""Oracle 11g/10g"" on  Sun Solaris, Linux and Windows.    ● MonaLisa (PRA System) - The basic purpose of an airline revenue accounting  system is to manage the control, reporting, use and accounting of tickets, MCOs, excess baggage tickets and other accountable documents.  ● Technology/Software tools used- Oracle Database, Oracle Business  Intelligence, Sql Server, Oracle Forms and Reports 6i.    ● Responsibilities in Project- I am taking care of the 10+ database instances and IT  related work. Creates and maintains all databases required for development, testing and production usage.Plans and implements backup and recovery of the Oracle  database.Troubleshoots with problems regarding the databases, applications and development tools.Manage sharing of resources amongst applications.Performs  database activity tuning on time to time to ensure performance and ensure maximum  uptime.Ensure security of data, network access and backup systems.Maintaining  Microsoft and Unix servers. Managing AD (Active directory) and implement security  time to time.Managing day to day Idrac dell servers and storage and firmware  upgradation. Time to time upgradation of vSphere.","July 2015 to Present","Oracle Database Administrator","Morena, Madhya Pradesh","Jaypee University of Engineering and Technology Guna, Madhya Pradesh && Victor Convent H.S.School Morena, Madhya Pradesh && Victor Convent H.S.School Morena, Madhya Pradesh","2011 to 2015 && July 2014 to August 2014 && 2007 to 2008","B.Tech in CSE && Industrial Training && Class X","None"
"21","Additional Information TECHNICAL SKILLS    Database: Oracle Database administration, SQL  Operating System: Windows 7/XP, Unix","Oracle Dba,10g/11g (2 years)","IT Source India Pvt Ltd - Navi Mumbai, Maharashtra","ventured into the banking technology as a system integrator for implementing Core Banking solution. HP provides all kind of support i.e. Application, Networking, and Database to successfully run the project ""STAR-SHAKTI"" for Bank of India. This project is running under the boundaries of System Level Agreement (SLA) on which HP provides the services.    Responsibilities:  Oracle Database Administrator:  ➢ Working with Production, Testing & Standby Database Servers on UNIX and Windows platforms.  ➢ Upgrading the database from 10.2.0.3 to 11.2.0.4 (10g to 11g)  ➢ Troubleshooting database issues.  ➢ Installation of oracle 11g (11.2.0.4) on database server.  ➢ Silent installation on database server.  ➢ Installation of SQLT on database server.  ➢ Applying Oracle patches (PSU) on Database servers.  ➢ Switchover and switchback of databases.  ➢ Creating indexes and views.  ➢ Rebuilding of Indexes for better performance, maintenance of Oracle databases.  ➢ Created new user, Tablespaces as per the requirement of Application Team.  ➢ Assigning roles and privileges or grant to different user.  ➢ Checking mount points on servers and managing space time to time.  ➢ Manual creation of oracle database.  ➢ Incremental backup of database.  ➢ Restoration of database.  ➢ Taking metadata of tables, indexes, users, roles.  ➢ Scheduling cron jobs for database activities.  ➢ Changing dbid and dbname of database server.  ➢ Taking AWR, ASH report.  ➢ Gather stats of multiple tables. (Analyze)  ➢ Multiplexing control files of database.  ➢ Shaired server implementation (MTS) on oracle database server.  ➢ Checking Execution plans of queries.  ➢ Manual recovery on DR database server in case log shipment gap.  ➢ Creting service request (SR) with oracle support.  ➢ Support to month end, quarter end and year end operation.  ➢ Sending user review and audit reports to concern team.  ➢ Raising RFC and Change Request (CR), and representing the change request in the meeting.","January 2015 to Present","Oracle Database Administrator","Navi Mumbai, Maharashtra","Shivaji University && A.G.High School Dapoli","2014 && 2010","B.E in Computer Science && H.S.C.","Two years working as Database Administrator in Production environment, supporting Oracle instances. Involve in maintaining high availability, scalability and increase manageability of Database with administration, trouble shooting, installation, patching, upgradation and various Oracle Database related maintenance activities."
"23","None","T/SQL,PL/SQL,SQL,SSIS,SSRS. (2 years)","Reena Info Tech pvt ltd - Hyderabad, Andhra Pradesh && Reena Info Tech pvt ltd - Hyderabad, Andhra Pradesh","Title: Hospital Management Information System (HMIS)  Environment: ASP .Net, C#.Net, AJAX, CSS, SQL Server 2005  Team Size: 8  Client: SVS Super Specialty Hospital  Duration: July 2010 to March 2011    Description  Hospital Management Information System (HMIS) Software is a Powerful, easy to use and has designed and developed to deliver real conceivable benefits to hospitals and clinics. It covers wide range of Hospital Administration and Management Processes. It is integrated to client / Web server Application.  Hospital / Clinic Parameters Setting: Simple way to create or Modify the Hospital Settings, Creating users, defining User Privileges', Setting up of Charges, Restricting the entries in a page can be done in few Seconds.    Functionalities  ➢ Patient Registration System  ➢ Out Patient Module  ➢ Medical Records  ➢ Uploading the data to Central System  ➢ Doctors Duty Register  ➢ Users Management  ➢ Medicines Management  ➢ Advanced Reports  ➢ Mailing Functionality    Responsibilities:  • Involved in the Modules Payroll, Finance for the development of Analysis and code using C#.Net  • Extensively used ADO.NET objects such as Data Adapter, Data Reader, and Dataset for Reading/Inserting/updating/Deletion of records in the database.  • Involved in the all Phases of Software Development Life Cycle like Requirements Gathering, Analysis, Design, Implementation and Testing.  • Having best practices like implementing 3-Tier Architecture, Mailing functionality and Creating SQL Server Stored Procedures.    PERSONAL TRAITS:    ➢ Commitment and Smart Working.  ➢ Optimistic and having good time management. && Duration: August 2009 to April 2010  -Description  - C#, ASP.NET, T/SQL, SQL and Java Script  -Role DATABASE DEVLOPER    Description:  -E-Banking System is a web based application .The main purpose of this project is to reduce the time of Banking Transaction.  -With the help of this project we perform all the transaction online.    -This Project are more secure means unauthorized user cant access to the information of other user, to perform this operation we used SSL Layer.  -Design the Database for this project.    -Given securities for web pages also means any unauthorized person are not take the information    of other user.    Responsibilities  • Involved in the Admin Module  • Implemented user interface using HTML, CSS, AJAX and JavaScript  • Used Validation Controls in ASP.Net for validating Front-end form  • Extensively used Grid Views with sorting and paging  • Involved in the all Phases of Software Development Life Cycle like Requirements Gathering, Analysis, Design, Implementation and Testing.  • Used N-tier architecture for presentation layer, the Business and Data Access Layers and were coded using C#.Net    PROJECT # 2","November 2015 to Present && October 2015 to Present","Database Developer,Database Administrator && Database Developer,Database administrator","Hyderabad, Andhra Pradesh","RGPV Bhopal (M.P.) Bhopal, Madhya Pradesh","August 2010 to May 2014","BE in Computer Science and engineering","To be employed in a firm where I can put my technical skills to use in enhancing the database systems and in developing software that will be boost the company's productivity.."
