"CandidateID","Additional-Info","Skills","Work-Experience__Company","Work-Experience__Job-Description","Work-Experience__Job-Duration","Work-Experience__Job Title","Location","Education__Institute","Education__School-Duration","Education__Qualification","Resume-Summary"
"0","Additional Information Overseas Experience:    UK (English course/Upper-Intermediate and Advanced english classes) held at Edwards Language School  UK (Business Training/Investment Banking business knowledge) held at HSBC London    Courses:    Advanced Java (J2SE,J2EE) - Qualiti  Core Web Application with Microsoft Visual Studio 2005 (Microsoft Course) – LanLink  Advanced Web Application with Microsoft Visual Studio 2005 (Microsoft Course) – LanLink  SCRUM Framework – C.E.S.A.R  Workshop for reuse in software – WIRE (C.E.S.A.R)","JAVA, SWING, JSF, JPA, Hibernate, Spring MVC, JSP, JMS, Servlets, JUnit, JMock, .NET, C#, VB.NET, Windows Forms,WPF, WCF, ASP.NET, NHibernate, Moq, AJAX, HTML, CSS, ANT, MAVEN, HTTPUnit, EMMA, JavaScript, JQuery, PHP, Ruby, Python, XML, XSLT, XPATH, Eclipse, MyEclipse, Visual Studio 2005/2010, Mono IDE, Team Foundation Server, Rational Team Concert, Rational Software Architect, Clearcase, Visio, Jude, Oracle, SQL-Server, MySQL, WebSphere Application Server (WAS), IIS, Apache Tomcat, JBoss, PMBOK, RUP, Lean Software Development, Kanban, SCRUM, XP, DDD, TDD, FDD, AngularJS","CITS - International Centre of Software Technology - Curitiba, PR && Volvo IT - Curitiba, PR && HSBC GLT - Curitiba, PR && Politec Global IT - Recife, PE && Pitang Agile IT - Recife, PE && Sophia Solutions - Recife, PE && Bradesco Bank - Recife, PE","Responsible for the research and development of new technologies. Working with Microsoft Technologies (.Net, Csharp, Unity, MEF) and Java Platform. Also responsible for the software engineering and development of the Smart Grids solutions in a Global IT environment. && Responsible for the development of a diagnostic vehicle solution using the .Net framework with C# as a language to build the core of the application and also Java and a small part of C++, although the C++ part was never changed. To test the code, the team used to use NUnit and Sikuli. The application was a legacy system with a quite coupled code and also it was developed for a specific kind of machine, so, for that reason, it was not so easy to apply some automated tests on that, but, the team applied what was possible and the project achieved a good level of quality. The purpose of the application was to diagnostic the mechanical and electronic engineering of the trucks assembled at Renault Trucks (Volvo Company) in Lyon - France. The application has being maintained in years in a complex architecture with a mix of knowledge of electronic and computing. It was a very good experience, very interesting subject, and very challenging. && Responsible for the software development of the web applications of the investment banking department (Global Banking and Markets - GBM), in London - UK. All of those applications were developed according to the MVC pattern architecture, using Java and its frameworks as Spring MVC, Spring AOP, HIBERNATE, JSF, MAVEN, JBehave, Selenium, FITNesse, JQuery, SQL (Oracle platform) and UML to the modeling. Experienced in systems integration using IBM MQ, and experienced in Web Services, using both SOAP as REST (JSON) as a protocol. There was a project that was important to the bank, where the team had to travel to London to understand all the necessary business rules to develop the application. For the project, the team used the FIT tool to automate the tests and with that, the project achieved a high level of quality, also using CI (Continuous Integration) with Sonar and some techniques like TDD and BDD was essential to start the project in a successful path. There were other interesting projects with this kind of business, particularly in the investment-banking context. In all projects the team used to work following agile techniques and some “mainstream” techniques as DDD (Domain Driven Design), TDD (Test Driven Design), BDD (Behavior Driven Design), XP (extreme programming) and the last but not the least in importance, the framework SCRUM that really help us to deliver good quality software. This reality of work was significant to the quality of the software. The team really achieved a sustainable pace using principles of Agile Software Development and the projects were very successful, very challenging and rich in terms of technology and process. && Responsible for the requirements gathering, working closely with clients in order to understand better the business and create the use cases used by development team.  Responsible for modeling systems and its relationship with other systems using UML, also responsible for the software development of several applications of the Tribunal de Contas do Estado de Pernambuco (TCE) and the Tribunal Regional Federal de Pernambuco (TRF). The technology used for both clients was Java and its frameworks as Struts, JSF, JDBC, HIBERNATE, Maven, also JQuery for UI and PL/SQL for the database (Oracle platform). There was a project that the goal was really challenging, it was a legacy system, written in ASP, and the team had the responsibility to do a reverse engineering of all the system. && Worked as a software developer of an international web project from Florida - US, with a complex business rules regarding the home insurance domain. The purpose of the application was to give a detail report that is necessary to show to the US government when it happens natural disasters and the citizen have some losses. The application was developed using the Java technology and its frameworks as JSF, HIBERNATE, Maven, IReports, and used JavaScript for UI and MySql for the database. To automate the tests the team used JUnit. It was a great project, good experience, good people and a very successful project.  Also responsible for the internet applications development of the Yahoo’s company. Worked as a developer in a big project, the China Olympic Games project that was implemented used the PHP technology and Perl. Our client was in Miami - US. It was a good project, with many contacts with people from other countries. This project was very rich in terms of culture and programming as well, and it has achieved a very successful target. && Responsible for the software development of a system where its purpose were the automation of the payment process for coffee shops in universities and schools using for that smart cards to avoid queues. This project was very interesting; the technology used to develop it was the .Net framework using the VB.Net and C# languages, also SQL for the database (MS SQL Server platform) and also ASP.Net and AJAX for UI. It was very challenging project because it was not just a simple web application but there was some communication with the physical tokens, those tokens were fixed in the school places and the software on it was written in Delphi, so, it was necessary to create a Web Service to enable the communication between the tokens and the web application The project was very successful. It was shown on national TV news and local newspapers as well. && Responsible for analysis of the portfolio of accounts payable and responsible to all kinds of financial tasks for operating a bank. A period of much learning regarding the administration, commitment, respect, corporatism, among other values. A very important learning for my entire career.","December 2015 to Present && July 2013 to March 2015 && August 2010 to June 2013 && September 2008 to August 2010 && December 2007 to August 2008 && September 2005 to October 2007 && August 2001 to March 2004","Software Developer, Global R&D && Application Developer && Senior Software Analyst && System Analyst && Software Engineer && Developer - Internship && Executive Cashier","Curitiba, PR","Recife Center for Advanced Studies and Systems Recife, PE && Faculdade Marista Recife, PE && Universidade Católica de Pernambuco Recife, PE","2009 to 2010 && 2004 to 2009 && 1998 to 2001","Master of Business Administration (MBA) in Agile Project Management && Bachelor of Technology (B.Tech.) in Internet Systems Development && Bachelor's degree in Computer Science","None"
"1","Additional Information Language  English - Professional working proficiency","Ruby (6 years), Ruby On Rails (6 years), Linux, Web Development (9 years), Docker, Javascript, Jquery, Mysql, Redis, Mongodb","Locaweb && MSLGROUP Espalhe && boo-box && Trentin Cross Media","Member of the PaaS team, working in the web hosting product, which is responsible for maintaining applications as service provisioning (web hosting - Linux and Windows, databases, DNS zones, application installer, analytics platform), customer control panel, operation control panel and APIs for providing information to other systems.    Currently working on the web hosting provisioning of the legacy architecture, helping to maintain and create strategies to reduce data inconsistence and data migration on a legacy system. Contributed to improvements in the platform migration system and also maintained and improved the application installer product, providing applications such as Wordpress and Joomla on the costumer's web hosting. Implemented the practice of continuous integration environment, increasing the quality of software delivery using Docker and Debian Package Management System.    Technologies/Methodologies: Ruby, Rails, Sinatra, Resque, Python, ASP, MySQL, SQL Server, GIT, Jenkins, Docker, Vagrant, Debian, Bash / Kanban, Scrum. && Develop and maintain:  - Web apps with high-impact on social networks, using PaaS providers and technologies to improve performance, reliability.  - A system that measures the performance and engagement of brands in social media by scores and ranking, using Ruby/Rails, postgreSQL/Redis and high performance background processing for Ruby. && Responsible for helping customers with their critical needs such as supporting and developing solutions. Develop with the operations team to maintain the health and stability of the system by fixing bugs, resolving critical issues in system design and improvements in system architecture    Participated on the Ad server core development team using ruby, merb/rails and mysql/redis. Gained big experience on monitoring, web scaling issues using different technologies to improve performance and reliability. && Developed and maintained CRM systems for business and websites using Ruby/Rails, PHP, Javascript/jQuery and MySQL/PostgreSQL, working in several layers from software architecture to deploy the production environment","August 2015 to Present && July 2014 to June 2015 && January 2011 to July 2014 && August 2007 to December 2010","Software Developer && Software Developer && Ruby Developer && Software Developer","São Paulo, SP","FIPP - Universidade do Oeste Paulista Presidente Prudente, SP","2003 to 2007","Web Development in Computer Science","Software developer who loves to solve problems with efficiency and speed.    - Fluent in Ruby its ecosystem and Javascript.   - Developed web apps, with both SQL and NoSQL databases,   - Experience in higher performance with background processing for Ruby.  - Focused on back-end development.    Specialties: Web development, Ruby, GIT, Rails/Sinatra, Redis, MySQL, PostgreSQL, Docker, Jenkins, Debian, Sidekiq, Javascript/JQuery/AngularJS.  Agile methodologies: Kanban, Scrum and XP."
"2","None","Matlab (5 years), C++ (8 years), Java (2 years), Image Processing (2 years), Neural Networks (3 years), Fuzzy Logic (3 years), Jira (3 years), Github (3 years), Eclipse (6 years), Visual Studio (6 years), Android Studio (1 year), Intel C++ Compiler (1 year), Intel OpenMP (1 year), OpenCV (1 year), C# (1 year), Scikit-Learn (Python Machine Learning) (Less than 1 year), JetBrains PyCharm (Less than 1 year), Boost C++ Library (1 year), STL C++ Library (1 year)","Roboticando - Santo André, SP && TOTVS - São Paulo, SP && ATECH Critical Systems - São Paulo, SP && ASGA SA - Paulínia, SP && LG Electronics - São Paulo, SP && ERICSSON R&D - Indaiatuba, SP","Develop embedded software solutions using C/C++.  Develop software in JAVA for Graph Algorithms, Image Processing and Machine Learning.  Tools: C/C++, JAVA, Arduino, Eclipse, IntelliJ IDEA, Visual Studio 2015, Git, Agile Methods, Python, Numpy, Scipy, Matplotlib, Fuzzy Logic, Neural Networks. && Develop multi-platform software solutions using C/C++ in accordance with requirements and design. && Python and C/C++ software developer for systems simulations. && Embedded software developer for Optical Modens.  C++, embedded LINUX, SVN. && Mobile software Developer.   Visual C/C++. && Real Time CDMA Rabio Base System developer.  C++, ClearCase, ClearDDTS.","February 2012 to Present && June 2011 to November 2011 && July 2010 to April 2011 && August 2008 to March 2011 && January 2008 to August 2008 && November 2005 to December 2007","Software Developer && Senior Software Engineer && Software Developer && Embedded Software Engineer && Software Engineer && Software Engineer","Santo André, SP","UFABC Santo André, SP && UNESP-BAURU Bauru, SP && UNESP-BAURU Bauru, SP","September 2015 to September 2018 && March 1999 to October 2002 && March 1991 to December 1997","PhD. Computer Science in Machine Learning && Master Degree in Industrial Engineering in Applied Neural Networks && Electrical Engineering in Control Systems and Electrical Machines","None"
"4","None","Java Avançado","JungleCoders - KohTao, Thailand && Empresas && Miles 33 - Belo Horizonte, MG && (Android) para empresa Usiminas && Selenium","Android developer && trabalhando).  Levantamento dos requisitos, estudo da viabilidade de software e desenvolvimento da parte mobile  (em Android) do Dengue Report 2.0.  O sistema consiste na evolução do sistema antigo, que é mantido até hoje, para um formato mais moderno utilizando da plataforma Android como ""coletor de dados"".  Além disso, o sistema se comunica com um banco de dados Mongo e tem seus dados exibidos em forma de sistema Web em Angular JS.  • MILES33, Analista de Sistemas, 07/2012. Trabalho com desenvolvimento e manutenção de sistema de noticias para industria jornalistica brasileira, usando Java EE e Scrum && Responsabilidades  Trabalho com desenvolvimento e manutenção de sistema de noticias para industria jornalistica brasileira, usando Java EE e Scrum.    Realizações  Desenvolvimento da integração do sistemas com os bancos Oracle e SQLServer, ajudando no faturamento das empresas e facilitando a contabilidade && Criação de um sistema mobile (Android) para empresa Usiminas.  Sistemas em CSharp para automatização do trabalho, criando robôs, para Win Mobile 6.5 e manuteção  do sistema web.  • ALGAR Tecnologia, Desenvolvedor, 06/2010.  Sistema web Permissionários em JCompany, Structs, Jsf, Birt, Hibernate e Oracle.  Sistema web Smodo em JCompany, JavaScript, SqlServer.  Sistema Android com aplicações para o Governo de MG.  • IBM, Operações, monitoração de sistemas, 07/2009.  Monitoraçã de contas Globais como(Panasonic, Ace, Williams, Hicahi) uso do Inglês constantemente. && Testes funcionais do Sistema da Imprensa Oficial, utilizando Java, PHP, Xml e FrameWork ArangiTester(Selenium).","July 2015 to Present && April 2015 to April 2015 && April 2012 to April 2015 && May 2011 to May 2011 && February 2009 to February 2009","Android Developer && ECOVEC, Analista de Sistemas && Desenvolvedor Java && Analista de Sistemas && LCC, Tester do sistema da Imprensa oficial","Belo Horizonte, MG","PUC_MG Belo Horizonte, MG","2006 to 2010","Graduação in Ciência da Computação","None"
"5","None","Espanhol e Inglês intermediário / Ferramentas M.S. Ofiice / Linux / Windows / GIMP para desenho de WEB / Inkscape, Eclipse, RAD, JAVA, JAVASCRIPT, NODEJS, GIMP, BLENDER (10+ years)","Accenture / Vivere Brasil - São Paulo, SP && Stefanini IT Solutions - São Paulo, SP && Magna Sistemas e Consultoria. - São Paulo, SP && Telecomunicações de São Paulo S/A - São Paulo, SP && IPT - São Paulo, SP","Atuaou no back-end e front-end do projeto de crédito imobiliário e automotivo para instituições bancárias.  Ferramentas / Tecnologias  IDEs: Atom, Visual Studio Code, Eclipse Neon.  Servidores Tomcat.  Integração de sistemas via serviços RestFull / SOAP  Utilização do NodeJS, AngularJS, Java, Spring, Oracle.  Metodologia Scrum para criação de projetos. && Responsabilidades  Desenvolvedor nodejs, react, para sistema de originação de documentos via OCR.    IDEs:  Elipse luna, Atom, Visual Studio Code..    Ambientes do sistema:  Spring boot, Jboss, Nodejs, Serviços Rest, PostgreSQL, Mongodb. && Atuou como liderança de equipe (2 anos) no desenvolvimento de sistemas, atuando nos projetos: Banco do Povo Paulista (microcrédito), Emprega São Paulo (empregos), PEQ, Via Rápida (empregos) e Audesp (auditoria do tribunal de contas do estado de São Paulo).   Ferramentas / Tecnologias:  IDEs RAD v8.0, Eclipse Luna.  Websphere v6.0/7.0/8.0, JBOOS 6.0.  WebService, para consulta Cadin.  Sockets para comunicação Banco do Brasil.  Banco de dados MS SQL Server 2008 e Postgres 9.0.  Struts 1.2, Hibernate 2.0, EJB 2.0.  Trocas de mensagens assíncronas, via JMS.  Deploy via Jhyton (Phyton rodadando em JVM) no suite control - M da IBM.  Customização de Chat em PHP usando o framework WEBIM.  Metodologia RUP / Scrum para manutenção e criação de projetos.  Verificadores de código PMD && Levantamento de Requisitos e Documentação de Sistemas utilizando-se do RUP IBM.   UML e confecção de Diagramas de caso de uso, estado, classes, seqüência e etc.   Interface WEB pra Usuários usando JSP, HTML, CSS e JavaScript.   Tomcat 5.x e 6.x.   Modelagem de Banco de dados.   Banco de dados MS SQL Server.   Stored Procedures, Views, Triggers, DTS, Schemas e etc.   Struts 1.x e 2.x, Hibernate, Servlets, JDBC.   Sistemas para a área de operação local e regional (Brasil e América Latina).   Gerenciamento de Servidores Windows Server, Linux.   Ferramenta de Desenvolvimento Eclipse 3.x     Atividades:   Integrante do comitê de implementação da metodologia RUP no cenário de desenvolvimento de sistemas da empresa.   Concepção e desenvolvimento de sistemas para telecom, tais como bilhetadores,   multimedição e controle de obras, usando cliente / servidor web na plataforma java.   Automação de processos de manutenção preventiva e corretiva em matrizes de comutação analógicas, programação de juntores de sinalização R2 digital e número 7,   criação de DDRs digitais para empresas nas centrais públicas, CPAs (Centrais por   Programas Armazenados) utilizando-se de linguagem C. && Responsabilidades  Pesquisador e desenvolvedor nas interface de troncos em central trópico RA.    Realizações  Laudos técnicos para empresas no momento da privatização das Telecons em chamadas a distância como voz sobre IP.","March 2016 to September 2016 && September 2015 to November 2015 && October 2009 to July 2015 && February 2001 to September 2009 && February 2000 to February 2001","Software Developer && Desenvolvedor Sr && Desenvolvedor Java Sênior III / Lider Técnico && Analista em Telecom e TI && Pesquisador e desenvolvedor","São Paulo, SP","Univali/Unitins São Paulo, SP","2008 to 2010","Tecnólogo em Análise e Desenvolvimento de Sistemas in Desenvolvimento de Sistemas","Desenvolvedor VB, Javascript, java, Nodejs, AngularJS."
"6","None","HTML5 (1 year), CSS Intermediário (Less than 1 year), PHP Intermediário (1 year), C# Intermediário (2 years), Unity3D (2 years), Action Script 3.0 (1 year), Flash (1 year), MySql (1 year)","Netbil Educacional e Informática Ltda && JR Informatica - Bilac, SP && Escritório Ipiranga - Bilac, SP","Suporte Técnico TI na Escritório Ipiranga && None && None","May 2015 to Present && June 2014 to March 2015 && May 2013 to May 2014","Software Developer && Técnico em Informática && aux de serviços gerais","Bilac, SP","Centro Universitário Católico Salesiano Auxilium && Ensino Médio","2014 to 2016 && 2006 to 2012","None && None","None"
"7","Additional Information QUALIFICAÇÕES  Execução impecável das rotinas, grande atenção à detalhes, organização, forte ética profissional, proativo, profissional, resolução de problemas e pensamento crítico, trabalho em equipe e habilidade de colaboração, alta habilidade de oferecer sugestões e melhorar processos, bastante colaborativo com colegas de trabalho, flexível a mudanças, disponibilidade de aceitar constantemente novos desafios e experiências, rápida adaptação a mudanças de ambiente, disponibilidade para viagens nacionais e internacionais.","Java Avançado, Angular, Node.Js, Spring Framework, Spring MVC, Spring Security, Spring Cache, Spring Data, JavaEE, JavaScript Avançado, Oracle, MySQL, MongoDB, JQuery, JSP","PRODESP && Hyundai Motors && Universidade Metodista de São Paulo - São Paulo, SP","Desenvolvimento de sistema de notificação, investigação e relatório de doenças.  Desenvolvimento de aplicação web com AngularJS, Bootstrap e Spring no servidor JBoss.  Desenvolvimento de backend com Spring Framework (Core, Cache, Data, Security, Rest).  Geração de relatórios com JasperReport usando Jaspersoft Studio.  Controle de dependências do projeto com Maven. Integração contínua com Jenkins, Maven.  Versionamento com Git.  Tecnologias FrontEnd: Node.JS, Bower, Gulp, AngularJS, Bootstrap, JQuery, JSON, REST, Consumos de serviço de uma API, JavaScript;  Banco de dados: Oracle e MongoDB;  Liderança da equipe de desenvolvedores (entrevista, contratação, desenvolvimento profissional, gestão de pessoas).  Estimativa de todos os prazos e recursos do projeto.  Apresentação de performance e status ao cliente final, bem como coleta e análise de requisitos vindos do cliente.  Liderança do projeto, desenvolvedor principal. && Desenvolvimento e sustentação do Portal de Vendas da Hyundai; Suporte aos Usuários;  Levantamento de Requisitos, especificações funcionais e documentações;  Desenvolvimento web utilizando framework Spring MVC, Bootstrap, JQuery, JSP, JSTL;  Criação e consumo de serviços REST;  Criação e consumo de serviços SOAP utilizado framework Axis2;  Integração com outros Sistemas como SAP e Siebel via RFC e SOAP;  Versionamento de código com SVN;  Testes de serviço com SOAPUI;  Utilização de servidor Tomcat && Instalação de Hacks com Patch Panel e Voice Panel; Instalação e configuração de Roteadores e Access Point; Projetos de mudanças de Infraestrutura de Redes e Telefonia; Projeto de criação de Infraestrutura de Redes e Telefonia; Suporte aos Usuários de Voip.    EXPERIÊNCIAS PROFISSIONAIS ADICIONAIS  Experiência com servidores: JBoss, Tomcat;  Bibliotecas e ferramentas como: Log4J, GSon, XStream, Maven;  Integrações com APIs de redes sociais: Instagram, Twitter;  Ferramentas WebService: Axis2, SoapUI;  Bancos de dados: MySQL, Oracle, MongoDB;  FrameWorks: Spring, VRaptor, Hibernate;  FrontEnd: AngularJS, JQuery, BootStrap;  Versionamento: SVN, Git.","April 2016 to Present && March 2014 to April 2016 && May 2013 to March 2014","Software Developer && Analista de Sistemas Java && Auxiliar Técnico de Redes","São Bernardo do Campo, SP","Universidade Metodista de São Paulo","2017","Engenharia","ANALISTA DE DESENVOLVIMENTO JAVA"
"8","None","visual basic 6 (10+ years), vb (10+ years), visual basic (10+ years), Vb.Net (10+ years), Php (10+ years), Mysql (10+ years), html (10+ years), Android Development (2 years), Json (2 years), Javascript (3 years), Shell Scripting (10+ years), Linux (10+ years), Jquery (1 year), Intel XDK (Less than 1 year), IBM Watson (Less than 1 year), TCL/TK (3 years), Swift (Xcode) (Less than 1 year), Xojo - native cross-platform development (Windows, Linux and MacOs) (6 years)","Acronus Software - carvalhomoraes.com - Campinas, SP && Freescale Semiconductors - Jaguariúna, SP","• I have been creating softwares that meet the need for companies and schools in the networked computer management. Using different computer languages (VB.net, Visual basic 6, Java, PHP, MySql, Javascript, Json,...), my softwares works on different platforms (Windows, Mac OS and Linux).  • Since 2006 I created a team of internal support to help our customers who may have technical questions about our products, to make tests in our solutions and since then I keep this team updated with the new features of our softwares.  • Currently my products are installed on thousands of computers.  • The sales system of our products I developed by myself, it is an automatic system (internal product) and our customers can pay through various payment methods such as PayPal for example, all automated.  • In 2010 I created a development team to help me in the development of features of current products and new products.  • In 2015 I started also hiring freelancers from outside of Brazil to help with new features and products that I needed. As an example of products for Android mobile. In this way, I created two products for two different companies (Bro software and GetCook - IOS and Android).  • Since January 2015 I started developing in Java (Android Studio) for mobile. && • Software development and electronic circuits (using freescale microcontrollers HC12 and HC11, VB6, VB.net and TCL/TK) to evaluate integrated circuits developed in Brazil.  • Integrated circuit layout designer.  • Software development in tcl / tk and Shell Script (UNIX) to check DRC and LVS entire hierarchy of an integrated circuit (from the top), with html report on an Apache server.","August 2006 to Present && August 2000 to August 2006","Software Development Director && Developer Technician Full","Campinas, SP","Universidade São Francisco University (not graduated, I stopped missing a year) Campinas, SP && Unicamp - (not graduated, I stopped missing two years) Campinas, SP && SENAI Campinas, SP && Fundação Bradesco Campinas, SP","2003 to 2007 && January 1999 to December 2002 && 1994 to 1996 && 1993 to 1996","BA in Computer Enginnering && Bachelor's degree in Physics && Technician in Electronic Telecommunication && Techinician in Electronic","None"
"9","None","Android (4 years), Java Intermediário (5 years), iOS (2 years)","Bravi Software - Florianópolis, SC && BRy Tecnologia - Florianópolis, SC && UNIVERSIDADE FEDERAL DE SANTA MARIA - Florianópolis, SC","In this company I have had the opportunity to work in several project, some of them to international customers.  The first project that I have worked was in a game called Qualcomm Quiz. This app is a game with question and answer where one Qualcomm employee can challenge another in different topics.    The second project is called Navita Connect. This app is a device manager and there are two types of profiles. The first one is for the devices users and they can see the average of the bills in the last three months for example. They also can see details of the bill about certain period like costs of SMS, call and data used in this period. The second one is for the manager of the employees. Besides that see the bills of the device them are using there is a screen called manager and in this area they can see information about the devices in general like the number of the devices that the company has, the number of the devices that are in use and others information.    The third project is called FX Mobile and this app offers a lot of metrics to different type of profiles like owner of one store, a group of stores or to an owner of a mall for example. In this apps the owners can check the flow of people that pass in front of them stores. The number of people that can pass in front of them stores and enter in the stores and buy something.    I also worked with others project like a public version of the Qualcomm Quiz and own projects from the company like the app Connect. This app is a News App to companies. This app allows a easy way to communication between employees. && My second experience was in a company BRy Technology. They have a good knowledge in this area in Brazil offering solutions to certification, security in digital documents, digital signature. I have worked there for 3 years as a web and mobile developer. As a Web Developer I had the opportunity to help to create a website called KMS (Key Management System) where the customer can create them certificate in the cloud and its private key is stored inside of the HSM (Hardware Security Module) and only the user can use it to sign some document for example.   As a Mobile Developer I have helped to create an app for Android and iOS called KMS. This app works like Google Authenticator, the user makes an agreement between the app and the web site using QRCode. Once the setup is completed successfully, the user can authenticate and sign documents using de app. && My first professional experience with software development was as a trainee at the university    where I studied. This work gave the great opportunity to work with different technologies like JSF, JPA,    Hibernate, Ajax, MySQL, Richfaces and etc. In that moment I only had worked with Java for desktop,    then I consider this job essential to my career and what I became today. During this time I helped to    develop a portal called “Collect”. This website is used to conduct research and academic assessment,    based on forms to collect data. I stayed there approximately 10 months.","July 2015 to February 2017 && November 2012 to July 2015 && October 2010 to July 2011","Mobile Developer && Web/Mobile Developer && Trainee - Web Developer","Cork, Ireland","Universidade Federal de Santa Catarina Florianópolis, SC","August 2009 to December 2013","Bachelor in Information Systems","I am looking for a job as a Mobile Developer"
"10","None","Microsoft Office, Microsoft Excel, Microsoft Power Point, Inglês Intermediário, Espanhol Avançado, HTML Básico, JavaScript Básico, CSS Básico, C#, SQL Básico, Java Básico","Controlux - Porto Alegre, RS && AlphaPark Estacionamentos - Porto Alegre, RS && Grupo Isdra - Porto Alegre, RS","Autônomo na manutenção de software utilizando plataforma c# e pl/sql && Alpha Park tive obrigaçoes como Lider Operacional e Acessor administrativo onde exerci as seguintes responsabilidades:    Lider Operacional :    * Gerenciava equipes de Valets/Manobristas e caixas com suas determinadas qualidades para os estacionamentos onde teriam melhor utilidade e eficiencia  * Fechamento de Caixa    Acessor Administrativo:    * Lançamento e controle de notas fiscais  * Controle de faturamento diario/semanal/mensal  * Orçamentos   * Compras  * Lançamentos de contas a pagar/receber  * Anúncios e propagandas  * Auxilio no planejamento do processo funcional administrativo e operacional   * Markup && Responsabilidades como estagiario eram :  *Auxiliar na construção/ atualização de sites utilizando html e css.  *Ajudar na construção e de atualização dos softwares, e pesquisa do banco de dados Sql(Postgree) para gerar relatorios","October 2014 to March 2016 && October 2013 to October 2014 && None","Developer && Lider Operacional/Acessor Administrativo && Estagiário TI Desenvolvimento","Porto Alegre, RS","Senac Porto Alegre, RS && FTEC Porto Alegre, RS && Target Trust (cursando) Porto Alegre, RS","January 2016 to January 2017 && 2014 to 2015 && None","Ensino Superior (Cursando) in Analise e Desenvolvimento de Sistemas && Ensino Superior Incompleto in Marketing && Especialização in Desenvolvimento de software","None"
