"CandidateID","Additional-Info","Skills","Work-Experience__Company","Work-Experience__Job-Description","Work-Experience__Job-Duration","Work-Experience__Job Title","Location","Education__Institute","Education__School-Duration","Education__Qualification","Resume-Summary"
"0","None","PHP (10+ years), MySQL (10+ years), Javascript (10+ years), HTML (10+ years), Delphi (10+ years), Mps.Br (CMMi compatible) (5 years), PMBOK (5 years), Scrum (8 years), C++ (1 year), Asp (2 years), Java (2 years), COBOL (1 year), SQL (10+ years), Oracle (2 years), MS SQL Server (2 years), Firebird (1 year), Subversion (8 years), Git (1 year), Yii (1 year), WordPress (1 year), JQuery (8 years)","UNIWARE Consultoria em Informática - Londrina, PR && UNIWARE Consultoria em Informática - Londrina, PR && UNIWARE Consultoria em Informática - Londrina, PR && CNP Engenharia de Sistemas - Montenegro, RS && CNP Engenharia de Sistemas - Montenegro, RS && CNP Engenharia de Sistemas - Londrina, PR && Pólis Sistemas - Londrina, PR && Guenka Soluções - Londrina, PR && RedFoot Free Software Study Group of the Universidade Estadual de Londrina - Londrina, PR && Rômulo Berri Informática - Londrina, PR && Department of Computer Science of the Universidade Estadual de Londrina - Londrina, PR && DLM Informática - Londrina, PR","I set up, deployed and held the position of Computer Systems Analyst.  I selected and trained an employee for the Project Manager position that I previously held.    Together with the project manager we trained one more analyst by creating the company's first analysts team.    As the development team was small I often programmed side by side to the team helping in the most complex tasks.    We helped the growth of the development team and testing team and improved the time to market of the solutions developed. && I coordinated a small team of Programmers and Test Analysts.  I implemented Project Management in the company.  I implemented the quality processes in accordance with the MPS.BR level G, obtaining certification in May/2013.  We created the Test Analysts team and the Software Development Quality Assurance process.    I frequently programmed side by side with the development team, assisting in the most complex tasks. && I joined the Software Development team, providing solutions for the Unilab Laboratorial Information System.    We developed many APIs with REST, SOAP and other proprietary APIs.    We have programmed with Delphi, PHP, Javascript, HTML, CSS, MySQL, Oracle and Firebird.    I suggested the company to adopt the Subversion, I installed it and trained the team to use the tool. && I joined the Software Development team, providing solutions for the Apollo Vehicle Dealership Information System.  We have programmed with COBOL, Delphi, Firebird, DB2 and Oracle.  I joined the software analysis team to create the Apollo's Patrimonial module. && I joined the Remote Customer Support where we helped the customers and the Local Customer Support staff to solve doubts, proposing solutions and providing trainning. && I joined the Local Customer Support team where we provide all the support and trainning needs to install and use the Apollo system. We travelled to many car dealerships all around the Brazil. && I joined the development team of the Georeferenced Patrimonial Control System for Unesp Araraquara.  We programmed with ASP, Javascript, Visual Basic, Visual C ++, Terralib library and MS SQL Server. && Oriented by PhD Jandira Guenka Palma:  I raised the system requirements with the customer and developed the Guardian Access Control System.  I developed a software engineering methodology adapted to the project needs based on UML.  I programmed with Borland C ++ Builder and MS SQL Server. && Together with two friends we created and managed the study group, where we promoted several courses and lectures about free software, mainly Linux. && I provided customers with technical computer support services. && I helped the computer department in the administration and maintenance of computer labs.  I promoted and installed the Linux system in the labs.  I gained experience with Windows 2000, Red Hat Linux and Conectiva Linux operating systems. && I joined the technical computer support team.  I gained experience with hardware and windows operating system setup and maintenance.","June 2015 to January 2017 && May 2008 to June 2015 && November 2006 to April 2008 && March 2006 to October 2006 && October 2005 to February 2006 && April 2005 to September 2005 && April 2003 to March 2005 && March 2004 to November 2004 && August 2003 to December 2003 && March 2001 to December 2003 && March 2002 to December 2002 && February 1997 to March 2001","Computer Systems Analyst && Project Manager && Programmer Analyst && Programmer Analyst && Remote Customer Support && Local Customer Support && Programmer Analyst internship && Programmer Analyst internship && Co-founder and Administrator - volunteer work && Computer Support Services, self-employed && Computer Labs Systems Administrator, internship && Computer Support Services","Londrina, PR","SENAI de Florianópolis Londrina, PR && Universidade Estadual de Londrina Londrina, PR && Instituto Politécnico de Londrina Londrina, PR","May 2012 to May 2014 && January 2001 to December 2004 && January 1997 to December 1999","MBA in Project Management && B.Sc. in Computer Science && Technician in Electronics","I have over 14 years of experience programming with different languages between them PHP, Javascript, HTML and SQL. On my last job, my planning, communication and time management skills takes me to be the Project Manager of the development team. Even as Project Manager I worked side by side with the team to help coding the most difficult tasks.  I love to learn new technologies. I am currently studying React.js.  I am from Brazil and looking for a remote job."
"1","None","PHP Intermédio (3 years), HTML Intermédio (3 years), CSS (3 years), JavaScript Intermédio (3 years)","VIP Leilões - São Luís Area, Brazil && Defensoria Publica do Estado do Maranhão DPE-MA - São Luís Area, Brazil && Tribunal Regional Eleitoral do Maranhão TRE-MA - São Luís Area, Brazil","- Utilize extensive software development skills to develop mobile app in JavaScript with Apache Cordova.    - Successfully developed an Android app that provides bid services of VIP systems for smartphones. && - Utilize extensive software development skills to develop web systems in PHP with Laravel.    - Successfully developed a web system that improve the resources management in 50%.    - Successfully developed a web system that manage IT support and network operations and improve the management in 30%.    - Developed a mobile application that provides a better approach of defender and citizen. && - Utilize extensive front-end development skills to develop solid and clear web pages.    - Successfully created an internal web site that provides management knowledge and support material to the managers.    - Improved the office management web page that provides internal services to the employees","August 2016 to Present && January 2015 to July 2016 && March 2012 to May 2013","Systems analyst && PHP Developer Intern && Web Developer Intern","São Luís, MA","Faculdade Pitagoras São Luís, MA","2009 to 2016","Bachelor’s Degree in Computer Science","None"
"4","Additional Information COMPUTER SKILLS.  C#, Action Script 3, .Net, JQuery, Javascript, Backbone JS, C, Java, PHP,  JSP, Automated Concordion testing, FileNet P8, XML, XAML, CSS,  Windows 8 App, MySQL, SQL, Oracle, SQL Server, Postgres SQL, JSF,  Hibernate, PrimeFaces, Spring MVC, Struts, WebSphere, AngularJS    2","Java (4 years), Java Programming (4 years), PHP (2 years), AngularJS (1 year), .NET (2 years), C# (2 years), Oracle (3 years), SQL (4 years)","Spassu Tecnologia e Serviços - Salvador, BA && Sonda Procwork - Petrobras - Salvador, BA && Solutis Technology - Salvador, BA && C.E.S.A.R - Sorocaba, SP && Reconcavo Institute of Technology - Salvador, BA && MCM Cintra Damião - COMPARATTO - Salvador, BA","Development and maintenance of systems using Java Web, HTML5 and AngularJS.  Primary computer skill used: Java && Development and maintenance of systems with EDM(Electronic  Document Management) technology, using Java web platforms, Swing,  HTML5 and IBM FileNet P8.  Primary computer skill used: Java && Development of web systems for public management, using the .NET and Java platform.  Primary computer skill used: Java && Center for Studies in Advanced Systems of Recife (C.E.S.A.R)  HP Residence in Windows 8. Development of C# applications with  XAML.  Primary computer skill used: C# && Development of educational objects in AS3 integrated with Flash.  Applications using Flex with Java.  Primary computer skill used: Action Script 3 && the ERP system. WEB Module Development in  PHP to aid administrative procedures, database manipulation (Postgres,  MySQL).  Primary computer skill used: PHP","January 2016 to November 2016 && May 2014 to January 2016 && September 2013 to May 2014 && February 2013 to August 2013 && August 2011 to February 2013 && June 2010 to August 2011","Senior Systems Analyst && Full Systems Analyst && Junior Systems Analyst && Software Developer && Software Developer && Technical support","Lauro de Freitas, BA","Federal University of Bahia Salvador, BA && Center for Studies in Advanced Systems of Recife (C.E.S.A.R) Sorocaba, SP && UNIME-FCT Salvador, BA && School of Art. Game and Animation Salvador, BA","2016 to 2018 && 2013 to 2013 && 2008 to 2013 && 2010 to 2011","Master in Computer Science && Software Residency in C# Certification by CESAR && Bachelor in Information Systems && Specialization in Adobe Certification Couse","None"
"5","Additional Information SKILLS  ● Languages: HTML5, CSS, C, Pro*C, Java, PHP, Python, Bash, Javascript, PL/SQL  ● Database Tools: SQL, PostgreSQL, Oracle  ● Other: Git/Github, SVN, JQuery, Bootstrap","Bash (4 years), Sql (5 years), Oracle Pl/Sql (4 years), C++ (4 years), Git (1 year), Github (1 year), Java (2 years), Javascript (1 year), Php (2 years), Python (2 years), Html5 (1 year), Html (4 years), Css3 (2 years)","Peopleware Tecnologia - São Paulo, SP && TQI Technology and Quality on Information - São Paulo, SP && Indra Brasil Ltda - São Paulo, SP","I have participated in several projects performing development, testing, data analysis and troubleshooting activities for medium and large clients.  In my role, I am responsible for customizing, implementing, and maintaining new functionalities, developing batch processes in Unix environment using Bash, Awk and C language, as well as ensuring integration to Oracle database and creating triggers, procedures, functions and views using PL/SQL and testing WebServices with SOAP UI.  I perform design and development activities to ensure that software requirements were met. && In my role, I performed development, troubleshooting and systems maintenance at Telefonica / Vivo, one of the world's greatest telecom, information and entertainment conglomerates, using C, CGDC, Shell Script, Python and CSG's Intermediate Mediation system (IME) in Oracle database and Unix environment. && In my role, I performed development, troubleshooting and systems maintenance at Telefonica / Vivo, one of the world's greatest telecom, information and entertainment conglomerates, using C, CGDC, Shell Script, Python and CSG's Intermediate Mediation system (IME) in Oracle database and Unix environment.","February 2014 to Present && 2013 to 2014 && 2012 to 2013","Systems Analyst && Mediation Analyst && Systems Analyst","Franco da Rocha, SP","Centro Universitário FIEO São Paulo, SP","2010 to 2011","None","None"
"6","Additional Information Skills  • Operating System: Linux, Windows and Android  • Programming Language:  - Advanced: C, C++, CUDA  - Intermediate: GLSL, Java, Python, Visual Basic, Delphi, SQL  - Android and Qt development    • Systems and Tools:  - Familiar with Python/Zope/Plone (CMS)  - VMWare, L TEX, HTML, Shell Script  A    - 3D: Unity with VR, Blender and OpenSceneGraph    • Software Framework: Scrum","C++ (7 years), OpenGL (5 years), CUDA (4 years), QT (1 year), Linux (9 years)","Tecgraf/PUC-Rio - Rio de Janeiro, RJ && Timóteo City Council - Timóteo, MG && NETEC - Juiz de Fora, MG","- Development of geophysical tools for Petrobrás  - Integrated a volumetric render in GPU (CUDA)  - Implemented HPC solutions to calculate attributes from seismic data using signal  processing approaches  - Integrated stereoscopic visualization to enable VR with Oculus Rift  - Software framework: Scrum  - Tools: OpenGL, OpenMP, CUDA, C++, OpenSceneGraph && - Deployment of Linux workstations  - Deployment and adaptation of the city council web portal designed by Interlegis  - Deployment and maintenance of a legislative support system designed by Interlegis && Development of Quality Control System and Medical Occupational Health Control  System for Mercedes  - Tools: Visual Basic and SQL Server 2000","September 2013 to Present && January 2009 to January 2012 && August 2005 to July 2006","Systems Analyst && System Analyst && Developer","Rio de Janeiro, RJ","Universidade Federal Fluminense Niterói, RJ && Universidade Federal de Juiz Juiz de Fora, MG","August 2011 to September 2013 && February 2003 to August 2007","Masters in Computer Science && Bachelor in Computer Science","Computer Scientist and Master in Computer Science (Visual Computing) with experience in C++, CUDA and OpenGL.     Passionate about computer graphics since graduation and high performance computing using GPU since master's degree. Also interested in performance optimization and low-level programming    Learned to love the benefits of working with scrum and other agile practices in a team collaboration project."
"7","Additional Information - Extensive experience building professional Java applications, both standalone and web, with JPA, EJB, Struts, JSF, Hibernate and Spring;  - Skillful with SQL, database manipulation and schema design;  - Experience in data and process modeling using UML;  - Skillful with JavaScript in both client and server sides, using NodeJS, ExpressJS, AngularJS, JQuery, MeteorJS and MongoDB;  - Experience in automated report generation, using iReport and JasperReport;  - Knowlege of version control systems, mainly Git and SVN;  - Familiar with game development, with personal experience using C# and Unity3d.","Java (9 years), Javascript (8 years), Jquery (6 years), Uml (9 years), Sql (9 years), Svn (9 years), Git (3 years), Software Development (9 years), Programming (9 years), Project Management (4 years)","COPPETEC && COPPETEC && COPPETEC && None && None","- Responsible for gathering requirements from meetings with the clients for a national-scale system called ""Sistema Nexo"", managing and distributing tasks, while respecting the project's deadlines;  - Responsible for presentation and homologation of new products;  - Development of a standalone module responsible for extracting data from government's financial system for business intelligence purposes. && - Development of ""SOMAR"", a software to manage all financial and legal process of acquisition of services and materials for a governamental department of brazilian navy. && - Coordenated a team in charge of the development of a software to allow gathering computer parts, in order to assemble them into new computers for posterior use in public facilities. && - Programmer in a project designed to fully manage the responsibilities of an airspace control facility, from task management to contracts and financial management.  - Developed the module to manage overseas contracts which is now used in about a dozen airspace facilities nationally. && - Programmer in ""Projeto RIVED"", developing softwares to help highschool public  educators present and teach many subjects in their disciplines.","March 2013 to Present && December 2009 to March 2013 && April 2009 to December 2009 && October 2007 to April 2009 && January 2006 to October 2007","Systems Analyst/Programmer @ DECEA && Systems Analyst/Programmer @ SOMAR && Project Manager @ SERPRO && Programmer @ CISCEA && Programmer @ UFRJ","Rio de Janeiro, RJ","Federal University of Rio de Janeiro, COPPE Rio de Janeiro, RJ && Federal University of Rio de Janeiro","January 2010 to March 2013 && August 2005 to January 2010","M.Sc. in Systems and Computer Engineer && B.Sc. in Computer Science","Systems analyst, project manager and programmer skilled in identifying client's necessities and designing and implementing solutions.  Always trying to find the best solution possible for any given problem, with focus on performance, productivity and customer satisfaction. I have great teamwork skills, with experience leading and working in teams at large scale softwares. Motivated and passionate about IT in general, I'm always searching for new patterns, technologies and new ways of dealing with common problems."
"8","Additional Information I am autodidact, proactive, collaborative and determinate. If I don't know how to do something, I will learn how and I will find a solution to solve the problem.","Sql (10+ years), Php (7 years), Web Development (10+ years), Postgrees (5 years), Zend Framework (5 years), Java (5 years), Programming (10+ years), Web Service (1 year), Customer Service (1 year), Uml (3 years), Struts (1 year), System Administration (1 year), Scrum (1 year)","IBROWSE - Soluções Tecnológicas LTDA - Florianópolis, SC && Poliedro - Informática, Consultoria e Serviços Ltda && Poliedro - Informática, Consultoria e Serviços Ltda - Brasília, DF && INS - Internet & Network Solutions Ltda","Job position: Systems Analysis and Programmer    Duties: Analysis of Hospital's management system (AGH) creating  arterfact UML in accordance with local standards. Used Java to develop a  tool to integrate the new system with the old one.  Tools: Java, PHP, Swing, DB SQL, Postgres, hibernate, Structs, Spring, Marvel,  version controls, primefaces, etc. && Job position: Systems Analyst leader  Duties: To assess the needs of the client in order to create the focus of the project shaped by the goals, resources and schedule of each project.  Manage the use of each team member's knowledge, skills, tools, and techniques to project activities that meet the project requirements. && Period: from 14/03/2003 to13/01/2009  Job position: Expert developer / Systems Analyst    Duties: System analysis using UML and RUP, data modeling with Postgres and SQL Server. To develop web systems with ASP, PHP, SQL, PostGree,  MySQL, HTML, XML, JavaScript and Vbscript. To maintain existing software  applications and develop new ones && Duties: To develop web systems with ASP, PHP, SQL, PostGree, MySQL,  HTML, XML, JavaScript e Vbscript.  Other Skill Experience of applying technical standards, principles, theories and techniques.  Problem solving capabilities.  Good with multicultural teams cooperating for a friendly environment.  Autodidact","February 2010 to December 2013 && January 2009 to January 2010 && March 2003 to January 2009 && April 2000 to August 2002","Systems Analyst && Project Manager && Web developer / Systems Analyst && Web Designer/ Developer","Brasília, DF","Universidade do Norte do Paraná","2007","Business","None"
"11","None","Persistence - JDBC (8 years), Persistence - Hibernate and JPA (8 years), Web - Java Server Faces-Facelets-Richfaces (4 years), Web - Bootstrap (3 years), Web - Spring MVC (3 years), Web - jQuery (3 years), Web - Struts (2 years), Web - Angular (2 years), Java EE - EJB (2.1, 3.0, 3.1) (5 years), Java EE - Queues (JMS, Apache ActiveMQ) (5 years), Java EE - Apache Camel/Karaf (OSGI) (4 years), WebServices (JAX-WS, REST, Spring WS) (4 years), Reports (Jasper and iReport) (5 years), Tests (JUnit, Mockito, DBUnit, SoapUI) (6 years), Application Server - JBoss (8 years), Application Server - Apache Tomcat (9 years), Application Server - IBM Websphere (4 years), Database - Oracle (9 years), Database - SQLServer (3 years), Database - mySQL (5 years), Database - Liquibase (4 years), Methodologies - Scrum (5 years), IDE Development - Eclipse (9 years), IDE Development - NetBeans (6 years), Apache Maven (8 years), Nexus Repository (4 years), Subversion - SVN (4 years), GitHub (5 years), Bitbucket (2 years), Continuous Integration - Jenkins (5 years)","Thomson Reuters - São Paulo, SP && Alliance Consultoria - São Paulo, SP","Developed and designed web applications focused on tax area using the best practices and processes of IT. Lead development teams and improve the functionality and code of the projects.    • Participated actively of the development of application about brazilian tax (ONESOURCE ECF).  • Worked as one of the mainly developers at the project (CAT83) that was considered complex and the most critical product of the company in 2013. I worked visiting some clients to reduce the issues and stabilizing this product. It during about 20 months.  • Contributed in a cloud project (SAAS) that calculate taxes. At this project, I was one of the mainly developers and We can use modern technologies like Spring MVC, Bootstrap, jQuery, Spring WS and Core. For testes we used Mockito, JUnit, DBUnit and some practices of TDD methodology.  • Lead and developed the project about brazilian tax (PIS/COFINS).  • Write documents in UML about legacy systems using reverse engineer.  • Technical visits at some customers for occasional fixes at the systems. && Developed and designed web and batch applications focused on tax and financial area using the best practices and processes of IT. Support to the customers.    • Contributed on the development of application that issue invoices (NF-e).  • Participated on the development of application about systems integration between local system and ERP (JDEdwards and Oracle EBS). I also worked supporting the customers on this project.  • Developed documents specifyng functional requirements of legacy systems.  • Contributed on the development of web application of brazilian tax.  • Developed a batch application to import data in a bank enviroment.  In this project I used Jasypt for security.  • Contribute in some meetings to define the system architecture of some legacy applications.","2011 to Present && 2007 to 2011","Systems Development Analyst Senior && Systems Development Analyst Senior","São Paulo, SP","Ibirapuera University","2009","Bachelor in Science in Computer","None"
"13","None",".NET (10+ years), MVC (5 years), SQL (10+ years), Business Analysis (5 years), C# (10+ years)","Volvo IT && LACTEC - Pão de Açúcar, AL && ICI - Instituto Curitiba de Informática && ICI - Instituto Curitiba de Informática && Coordenação da Região Metropolitana && Celepar","Developing and maintaining systems for trucks and buses production line, after-market,  logistics and Volvo's financial area (VFS);  Travel abroad (Sweden and Poland) on working propose (trainings, works and meet  together);  Part of a global team, other colleges spread on USA, Sweden, Poland, Indian, China and  Brazil;  3rd level support for production line and logistic applications;  Acting as full stack developer, system analyst and business analyst;  Design applications. && Development of innovative projects for big Brazilian companies like: Pão de Açúcar,  Bematech, Positivo and Britania;  Negotiate scope with customers, distribution of tasks and control results with the team;  Requirements analysis, definition of features; Analysis of systems using UML 2.0;  Application of project managements techniques: Scrum e XP; Used Technologies: C#,  PHP, JavaScript, Bash Script, Java, Flex, Python, Bash Script, Sql Server, Postgres, Oracle,  XML;  Development, certified and implantation of commercial automation systems (e.g.: POS);  Travel to negotiate requirements/scope, certified software and implementation of systems;  Linux operational System customization; Development of inventory control systems;  Configuring, support and installation of Linux servers (internal usage). && Systems analysis and development for the Municipal City of Curitiba;  Participating on development of a managing commercial automating system for the Project:  armazéns da família;  Used technologies: C#, ASP.NET, SQL Server and JavaScript;  Reports development using: Crystal Reports and Reporting Service;  System analysis using UML 2.0 on Microsoft Visio. && Systems development for the Municipal City of Curitiba; Used technologies: C#,  ASP.NET, SQL Server and Javascript;  Reports development using: Crystal Reports. && Systems development using: PHP, JavaScript e Mysql; Linux operational system  customization, support and configuration;  Bash script development. && Systems development using: PHP, JavaScript e Mysql;  Linux operational system installation, support and configuration.","September 2010 to Present && September 2007 to September 2010 && August 2006 to September 2007 && August 2005 to August 2006 && February 2005 to April 2006 && August 2003 to January 2005","System Analyst && Systems & Business Analyst && Programmer && Intern && Intern at COMEC && Intern","Curitiba, PR","FAE Centro Universitário && Universidade Federal do Paraná && Escola Regional de Banco de Dados && Universidade Federal do Paraná","2015 to 2017 && 2012 to 2014 && 2010 to 2010 && 2003 to 2007","Production engineering && Master's in Electrical and Electronics Engineering && DCE in Maths and IT Coordinator && None","12+ years of experience as Application Developer, System Analyst and Business Analyst in  IT Projects;  Experience as Project Manager, Team Leader, Scrum Master and Business Analyst;  Great knowledge over agile methodologies (DevOps, XP, Scrum, Kanban, Lean Office);  Proficient in several computer languages (CSS, HTML, C#, Java, JavaScript, Ajax, Ruby  on Rails, Python, C/C++, Matlab), databases (XML, MS Sql Server and Oracle);  Good knowledge on Mobile development, Restful API and Matlab;  5+ years of experience in global teams;  Currently learning Production engineering concepts such as: Lean Management, WCM,  Supply Chain and Industrial logistic;  Master Science in Electrical Engineering (Radio frequency);  Work in multi-cultural teams naturally."
"14","None","Project Management (8 years), Systems Analyst (10+ years), Mainframe systems (10+ years), UNIX (8 years), HP QC (8 years), Sql (10+ years), Use Cases (10+ years), Methodologies (10+ years)","Actual - Curitiba, PR && HDI SEGUROS S.A. - Curitiba, PR && HSBC Seguros Brasil S.A. - Curitiba, PR","Project Team Leader & Systems Analyst - Responsible to lead the team during the requirements analysis, designing the best solution, coding and planning the acceptance test for the implementation of new legal systems attending to mandatory appointment from government legal law;  Member of the team which had made the analysis and design of the best solution to increase the customer code number by reusing it, avoiding database maintenance. Otherwise, the  HSBC Company would spend over than R$ 5 million, only by adding a new digit in the customer code number. In this project, the HSBC Bank had avoided the necessity of  rebuilding around 85% of their life insurance systems;  Participated as a team member in the development of some projects related to BI from bank's costumer's information data;  Analysis and development of performance for DW of Insurance Systems;  Wide experience in mainframe systems maintenance, building and releasing plans for new  features and enhancements, also a wide experience in establishing and managing procedures for reviewing, estimating and accepting development work requests;  A typical work day is based on meetings with Project Managers team, Business Analysts,  Solutions Architects and others, usually translating business ideas and functional  requirements into high-level design and technical requirements for project development  team;  Sometimes responsible for coordination and participating during the analysis, design,  development, unit and integrated tests, as well as maintenance of mission-critical business  applications;  Ability to develop rapport with all stakeholders and create an atmosphere that encourages  everyone to obtain better results. && Participated as a team member which was been responsible for requirements gathering, analysis, design, implementation and tests of Data Migration process from HSBC database, based on ADABAS database and SYBASE database, both in mainframe platform and Unix based platform, to HDI Insurance database, based on INFORMIX database; && Participated as a system analyst responsible for the analysis, design, build and tests related to the millennium bug project in HSBC Insurance.  Responsible for coordination and testing all the Insurance Tax  Collection System and Accounting System based on mainframe environment.  Results: The Company didn't have any significative problem related to the Millenium Bug.  I had been participated in several other projects based on mainframe environment.","April 2007 to Present && November 2005 to April 2007 && January 1990 to October 2005","Systems consultant, project consultant, systems specialist && Sr System Analyst & Team Leader && System Analyst","Curitiba, PR","FAE Business School Curitiba, PR && Federal University of Parana Curitiba, PR","2003 to 2003 && 1986 to 1991","post graduation in Information Technology Management && Bachelor in Informatics","Systems Analyst and/or Project Manager"
