"CandidateID","Additional-Info","Skills","Work-Experience__Company","Work-Experience__Job-Description","Work-Experience__Job-Duration","Work-Experience__Job Title","Location","Education__Institute","Education__School-Duration","Education__Qualification","Resume-Summary"
"1","None","Web Development (7 years), Web design (7 years)","Toptal - Palo Alto, CA && Unaghii - São Vicente, SP && CTIS - São Paulo, SP && Quartel Design - Belo Horizonte, MG","Responsibilities  Development of websites and webapps, mainly using WordPress. && Responsibilities  Freelancing for companies, agencies and start ups providing front and back-end development services.    Skills Used  Front-end development, back-end development, web design, logo design, UI design, UX design && Responsibilities  Development of websites, portals and intranets using WordPress. Our main client was the São Paulo City Hall.    Skills Used  Front-end development, back-end development && Responsibilities  Development (front-end and back-end) of corporate websites using WordPress.    Skills Used  Front-end development, back-end development","January 2015 to Present && January 2009 to Present && October 2014 to July 2015 && May 2011 to March 2014","PHP Developer && Freelance PHP developer / designer && PHP Developer && WordPress developer","São Paulo, SP","FATEC BS Santos, SP","2009 to 2012","BA in Systems Analysis","None"
"4","Additional Information Overseas Experience:    UK (English course/Upper-Intermediate and Advanced english classes) held at Edwards Language School  UK (Business Training/Investment Banking business knowledge) held at HSBC London    Courses:    Advanced Java (J2SE,J2EE) - Qualiti  Core Web Application with Microsoft Visual Studio 2005 (Microsoft Course) – LanLink  Advanced Web Application with Microsoft Visual Studio 2005 (Microsoft Course) – LanLink  SCRUM Framework – C.E.S.A.R  Workshop for reuse in software – WIRE (C.E.S.A.R)","JAVA, SWING, JSF, JPA, Hibernate, Spring MVC, JSP, JMS, Servlets, JUnit, JMock, .NET, C#, VB.NET, Windows Forms,WPF, WCF, ASP.NET, NHibernate, Moq, AJAX, HTML, CSS, ANT, MAVEN, HTTPUnit, EMMA, JavaScript, JQuery, PHP, Ruby, Python, XML, XSLT, XPATH, Eclipse, MyEclipse, Visual Studio 2005/2010, Mono IDE, Team Foundation Server, Rational Team Concert, Rational Software Architect, Clearcase, Visio, Jude, Oracle, SQL-Server, MySQL, WebSphere Application Server (WAS), IIS, Apache Tomcat, JBoss, PMBOK, RUP, Lean Software Development, Kanban, SCRUM, XP, DDD, TDD, FDD, AngularJS","CITS - International Centre of Software Technology - Curitiba, PR && Volvo IT - Curitiba, PR && HSBC GLT - Curitiba, PR && Politec Global IT - Recife, PE && Pitang Agile IT - Recife, PE && Sophia Solutions - Recife, PE && Bradesco Bank - Recife, PE","Responsible for the research and development of new technologies. Working with Microsoft Technologies (.Net, Csharp, Unity, MEF) and Java Platform. Also responsible for the software engineering and development of the Smart Grids solutions in a Global IT environment. && Responsible for the development of a diagnostic vehicle solution using the .Net framework with C# as a language to build the core of the application and also Java and a small part of C++, although the C++ part was never changed. To test the code, the team used to use NUnit and Sikuli. The application was a legacy system with a quite coupled code and also it was developed for a specific kind of machine, so, for that reason, it was not so easy to apply some automated tests on that, but, the team applied what was possible and the project achieved a good level of quality. The purpose of the application was to diagnostic the mechanical and electronic engineering of the trucks assembled at Renault Trucks (Volvo Company) in Lyon - France. The application has being maintained in years in a complex architecture with a mix of knowledge of electronic and computing. It was a very good experience, very interesting subject, and very challenging. && Responsible for the software development of the web applications of the investment banking department (Global Banking and Markets - GBM), in London - UK. All of those applications were developed according to the MVC pattern architecture, using Java and its frameworks as Spring MVC, Spring AOP, HIBERNATE, JSF, MAVEN, JBehave, Selenium, FITNesse, JQuery, SQL (Oracle platform) and UML to the modeling. Experienced in systems integration using IBM MQ, and experienced in Web Services, using both SOAP as REST (JSON) as a protocol. There was a project that was important to the bank, where the team had to travel to London to understand all the necessary business rules to develop the application. For the project, the team used the FIT tool to automate the tests and with that, the project achieved a high level of quality, also using CI (Continuous Integration) with Sonar and some techniques like TDD and BDD was essential to start the project in a successful path. There were other interesting projects with this kind of business, particularly in the investment-banking context. In all projects the team used to work following agile techniques and some “mainstream” techniques as DDD (Domain Driven Design), TDD (Test Driven Design), BDD (Behavior Driven Design), XP (extreme programming) and the last but not the least in importance, the framework SCRUM that really help us to deliver good quality software. This reality of work was significant to the quality of the software. The team really achieved a sustainable pace using principles of Agile Software Development and the projects were very successful, very challenging and rich in terms of technology and process. && Responsible for the requirements gathering, working closely with clients in order to understand better the business and create the use cases used by development team.  Responsible for modeling systems and its relationship with other systems using UML, also responsible for the software development of several applications of the Tribunal de Contas do Estado de Pernambuco (TCE) and the Tribunal Regional Federal de Pernambuco (TRF). The technology used for both clients was Java and its frameworks as Struts, JSF, JDBC, HIBERNATE, Maven, also JQuery for UI and PL/SQL for the database (Oracle platform). There was a project that the goal was really challenging, it was a legacy system, written in ASP, and the team had the responsibility to do a reverse engineering of all the system. && Worked as a software developer of an international web project from Florida - US, with a complex business rules regarding the home insurance domain. The purpose of the application was to give a detail report that is necessary to show to the US government when it happens natural disasters and the citizen have some losses. The application was developed using the Java technology and its frameworks as JSF, HIBERNATE, Maven, IReports, and used JavaScript for UI and MySql for the database. To automate the tests the team used JUnit. It was a great project, good experience, good people and a very successful project.  Also responsible for the internet applications development of the Yahoo’s company. Worked as a developer in a big project, the China Olympic Games project that was implemented used the PHP technology and Perl. Our client was in Miami - US. It was a good project, with many contacts with people from other countries. This project was very rich in terms of culture and programming as well, and it has achieved a very successful target. && Responsible for the software development of a system where its purpose were the automation of the payment process for coffee shops in universities and schools using for that smart cards to avoid queues. This project was very interesting; the technology used to develop it was the .Net framework using the VB.Net and C# languages, also SQL for the database (MS SQL Server platform) and also ASP.Net and AJAX for UI. It was very challenging project because it was not just a simple web application but there was some communication with the physical tokens, those tokens were fixed in the school places and the software on it was written in Delphi, so, it was necessary to create a Web Service to enable the communication between the tokens and the web application The project was very successful. It was shown on national TV news and local newspapers as well. && Responsible for analysis of the portfolio of accounts payable and responsible to all kinds of financial tasks for operating a bank. A period of much learning regarding the administration, commitment, respect, corporatism, among other values. A very important learning for my entire career.","December 2015 to Present && July 2013 to March 2015 && August 2010 to June 2013 && September 2008 to August 2010 && December 2007 to August 2008 && September 2005 to October 2007 && August 2001 to March 2004","Software Developer, Global R&D && Application Developer && Senior Software Analyst && System Analyst && Software Engineer && Developer - Internship && Executive Cashier","Curitiba, PR","Recife Center for Advanced Studies and Systems Recife, PE && Faculdade Marista Recife, PE && Universidade Católica de Pernambuco Recife, PE","2009 to 2010 && 2004 to 2009 && 1998 to 2001","Master of Business Administration (MBA) in Agile Project Management && Bachelor of Technology (B.Tech.) in Internet Systems Development && Bachelor's degree in Computer Science","None"
"5","Additional Information Qualidades Profissionais:   Flexibilidade, absorção rápida e facilidade de relacionamento.     Disponibilidade para início imediato.","CorelDraw Avançada (10+ years), Photoshop Avançado (10+ years), DreamWeaver (10+ years), Illustrator (10+ years), InDesign (10+ years), Flash (10+ years), Sony Vegas (10+ years), HTML Avançado (6 years), Marketing Digital (6 years), Inglês Avançado (10+ years)","Sage Brasil Software S.A. - Americana, SP && Sage Brasil Software S.A. - Americana, SP && Zara Marketing e Design Ltda. - ME - Americana, SP && Mtrês Comunicações - Americana, SP","Principais atividades:   Marketing de Produtos  • Participação do Planejamento de Campanhas.  • Digital Marketing (Social Media, SEO, Google Analytics)  • Desenvolvimento de Websites, Hotsites e Landing Pages.  • Projeto Gráfico de Sistemas e Websites (UX/UI).  • Web Developer (HTML/CSS).  • Elaborar layout de EMKT para venda de produtos.  • Otimizar layouts para captação de Leads.  • Inbound Marketing (B2B).   • Realizar NPS.  • Apresentar KPIs para geração de leads.  • Relatórios Gráficos.  • Elaborar Descrição de Produtos.  • Content Marketing. && Principais atividades:   Marketing/Criação  • Criar identidades para campanhas internas e externas.  • Digital Marketing (Social Media, SEO, Google Analytics)  • Desenvolvimento de Websites, Hotsites e Landing Pages.  • Endomarketing.  • Projeto Gráfico de Sistemas e Websites (UX/UI).  • Desenvolver designers Iniciantes com ferramentas e padronização de layouts.  • Desenvolvimento de material gráfico (papelaria, anúncios online e offline, entre outros).  • Monitorar padronizações de layouts.  • Edição de Vídeos.  • Banners Animados.  • Relatórios Gráficos e apresentações gerenciais. && Com foco na liberdade criativa, grandes layouts desenvolvidos para clientes como Marina Flores, Loja Stella, Americana Futebol e Usimed.    Principais atividades:   Criação  • Desenvolvimento de material gráfico (papelaria, anúncios online e offline e mídias externas).  • Criar identidades para campanhas.  • Wireframes e Layouts para Websites.  • Edição de Imagens.  • Efeitos Especiais. && Participou de campanhas de grandes empresas como Skill Idiomas, People Computação, Wizard, SóPneus, Microwork e Cimentolit.    Principais atividades:   Criação  • Monitorar desenvolvimento de layouts.  • Desenvolvimento de material gráfico (papelaria, anúncios online e offline e mídias externas).  • Criar identidades para campanhas externas.  • Storyboard para comerciais.  • Wireframes e Layouts para Websites.  • Aprovação final de layouts.  • Ilustração Digital.  • Fotografia para produtos comerciais.","November 2015 to January 2017 && April 2011 to November 2015 && June 2010 to April 2011 && August 2008 to June 2010","Analista de Marketing && Analista de Arte Pleno II && Designer Gráfico && Diretor de Criação","Santa Bárbara d'Oeste, SP","Unisal Americana, SP","January 2004 to December 2007","Bacharelado in Comunicação Social","Experiência em criação de layouts para campanhas (Pacote Adobe/Corel), desenvolvimento de projeto gráfico para websites e sistemas (UI/UX), desenvolvimento de emails e websites em HTML/CSS, mídias sociais, vídeos e banners animados, estratégias de marketing e branding, comunicação empresarial interna e direção de arte. Planejamento estratégico de campanhas online e offline, Inbound Marketing para a medição de leads (b2b), medição de Net Promoter Score.    Qualidades Profissionais:  Flexibilidade, absorção rápida e facilidade de relacionamento."
"6","Additional Information Últimos Projetos:  https://bitbucket.org/danilocontini/xerografia (AngularJS + Java)  https://github.com/danilocontini/Swapy (MongoDB + ExpressJS + AngularJS + NodeJS)  http://original.com.br (AngularJS + Java)  http://recap.com.br (PHP)  http://pmq.recap.com.br (PHP)  http://computarebrasil.com.br (PHP)  http://proativacobrancas.com.br (PHP)  http://windoorpvc.com.br (PHP)","JavaScript (6 years), HTML (8 years), CSS (8 years), LESS (2 years), Java (1 year), UML (1 year), JPA (1 year), Hibernate (1 year), JSP (1 year), EJB3 (1 year), XML (7 years), JSON (3 years), Angular (3 years), SASS (3 years), PHP (5 years), NodeJS (3 years), jQuery (6 years), Gulp (3 years), Grunt (3 years), Bower (3 years), Composer (1 year), Postgre SQL (1 year), MySQL (5 years), MongoDB (3 years), Git (3 years), SVN (3 years), Scrum (3 years), Kanban (4 years), WordPress (5 years), Drupal (3 years), Magento (4 years), Cinema 4D (8 years), Photoshop Avançado (10+ years), Illustrator Avançado (10+ years), CorelDraw Avançada (10+ years), Mac OSX (10+ years), Linux (8 years)","Sede Info && Ci&T - Campinas, SP && OWN Web & Mobile - Campinas, SP && Agenzzia - Campinas, SP && PLUS-IT CONSULTING - Valinhos, SP","Responsável por pesquisar a usabilidade e experiência do usuário final, criar Designs para interfaces com as ferramentas Illustrator e Photoshop, e desenvolvimento Front-End com HTML5, CSS3, LESS, SASS, Task Runners, JavaScript, jQuery e AngularJS. Participei do desenvolvimento Back-End de páginas e sistemas Web utilizando linguagens de programação como Java, NodeJS e PHP. && Colaborei no time de desenvolvimento de cliente financeiro totalmente digital, na implementação de toda a parte Front-End utilizando tecnologías HTML5, CSS3, LESS, SASS, Grunt, Gulp, JavaScript e AngularJS na área de Internet Banking e Mobile Bank. && Trabalhei com programação Back-End com linguagem PHP, do sistema de emissão de certificados para postos de combustíveis do PMQ da empresa RECAP. Também desenvolvi Plugins e Temas para WordPress. && Atuei com Design focado em mídias sociais, desenvolvimento de temas e plugins e atualização de códigos para diferentes versões da linguagem PHP para o CMS próprio da empresa. && Responsável pelos layouts, interfaces, experiência do usuário e desenvolvimento de campanhas de email marketing, sites e landing pages para a instituição de ensino Anhanguera Educacional.","2007 to Present && February 2015 to November 2015 && June 2014 to February 2015 && December 2013 to June 2014 && January 2012 to September 2012","Full Stack Developer && Software Engineer && Full Stack Developer && UI/UX e Full Stack Developer && Front-End Developer","Valinhos, SP","Universidade Paulista Campinas, SP","June 2010 to July 2013","Associated Degree in Design Gráfico","None"
"10","Additional Information Atuar como Frontend, desenvolvendo banners, layout de site, realizando o desenvolvimento das paginas do inicio até a parte de backend.","HTML5 (3 years), CSS Avançado (8 years), JavaScript Intermediário (2 years), Jquery (4 years), Photoshop Intermediário (5 years), Fireworks (5 years), Bootstrap (1 year), SEO (2 years), UI Design (3 years), UX Design (3 years), Design Gráfico (5 years), Design Responsivo (2 years), Performance Web (3 years), Arquitetura web (4 years)","Omnion - Marketing de Relacionamento - São Paulo, SP && Interativa - Taubaté, SP","Criações e desenvolvimento de layout e site. Responsável por todos os projetos da empresa.  Desenvolvimento de sites responsivos. && Criações e desenvolvimento todos os projetos da empresa.","January 2012 to Present && January 2010 to December 2011","FrontEnd - Developer && Frontend","Pompéia, SP","Unitau - Universidade de Taubaté Taubaté, SP","January 2008 to December 2011","Ensino Superior in Web Design","Atuar como Frontend, desenvolvendo banners, layout de site, realizando o desenvolvimento das paginas do inicio até a parte de backend."
"13","Additional Information SKILLS    - Front-end web applications and mobile development (Materialize, Javascript, Ionic, SASS, Angular.JS)  - Back-end development (Python+Django, Java, C#, VB.Net, PHP)  - Experienced with SQL Server, DB2, MySQL, PostgreSQL, Oracle, Tomcat, Glassfish  - Experienced with project monitoring using Kanban  - Experienced with version controllers and Scrum methodology  - Fluent in Portuguese and English, and limited proficiency in Spanish","Business Intelligence, Web Design, Web Development, Project monitoring, Front End Developer, Database Development, Data Analysis, Software documentation","Brid Soluções (Brazil) && Rais - Cornélio Procópio, PR && St. Clair College (Canada) && Forlogic Software - Cornélio Procópio, PR","Job description:  • Analyze data and develop Business Intelligence applications using QlikView  • Develop layouts focusing on the abstraction of business rules, interfaces and users experiences (UI/UX)  • Responsible for preparing custom work environments for executing B.I applications && -Development of front-end web applications and mobile (using Photoshop, CSS Materialize, Ionic, Cordova, HTML5, CSS3, JavaScript, SASS / SCSS, and PHP / AngularJS *) focusing on the abstraction of business rules for layouts, interfaces and users experiences (UI / UX).   -Working with version controllers and Scrum methodology in the development of applications. && Job description:  • Software testing  • Software development in Python + Django Framework  • Database development and maintenance  • Gathering of Software Requirements && Profile: Research Assistant   Project: Plataform Qualiex – quality management, excellence, management of knowledge and innovation.  Job description:   • Software testing.   • Software development in C# and ASP.net.  • Database development.  • Reporting on the Stimulsoft tool","September 2016 to Present && April 2016 to September 2016 && May 2015 to August 2015 && June 2013 to October 2013","Business Intelligence Development && Front End Developer Intern && Web Developer Intern && Web Developer Intern","Londrina, PR","Universidade Tecnológica Federal do Paraná Londrina, PR && St. Clair College Windsor, ON","January 2010 to December 2016 && August 2014 to April 2015","Technology in System Analysis and Development && Computer System Technology","Systems Analyst and Developer with an extreme passion for Business Intelligence seeking an opportunity to work for  a company in this field, which will best utilize my education and professional experience."
"15","Additional Information Sponsorship needed to work in the U.S. I'm willing to relocate permanently.","Adobe Photoshop (9 years), Adobe Dreamweaver (9 years), Adobe Fireworks (5 years), HTML (10+ years), CSS (9 years), jQuery (6 years), PHP (7 years), WordPress (5 years), CorelDraw (9 years), Google Analytics (6 years), SEO (9 years), Adobe Audition (1 year), Social Media (5 years), Email Marketing (4 years), Journalism (10+ years), Mac OS X (1 year), Adobe Illustrator (1 year), Word (10+ years), Powerpoint (4 years), Bootstrap (Less than 1 year), InVision for rapid prototyping (Less than 1 year), HTML 5 (4 years), CSS3 (4 years), Google Web Designer (Less than 1 year)","Studio Solo (freelance, own brand) - Sao Paulo, SP && ROC Group - São Paulo, SP && Inomax Digital Agency - São Paulo, SP && Eight Digital Agency (company went bankrupt) - São Paulo, SP && Banco Nossa Caixa S.A. (It was incorporated to “Banco do Brasil”) - São Paulo, SP","Personal brand created in 2010 to spread my work as a freelance web designer. My work includes but is not limited to design/creative, layouts, UX/UI, WordPress-based website production and SEO implementation, as well graphic and banners targeted to social media and offline stuff, like business cards, flyers and presentations. && WordPress websites and blogs, front-end routines, PHP programming, small/medium-sized e-commerces with Magento and support to the whole agency customers portfolio. && Layouts, mockups, banners and assets to a lot of websites, e-commerces and social media (like fanpages), front-end design, WordPress themes and SEO implementation. && All front-end routine (html/css/jquery), converting layouts and mockups into awesome websites with great visual appeal and delivering excellent user experiences - UX. && Clipping organization, writing for press and internal communication, image editing, journalists reception, support for press conferences","October 2010 to Present && May 2012 to September 2014 && September 2010 to October 2011 && April 2009 to November 2009 && April 2006 to February 2007","Web Graphic Designer && Web Designer && Web Graphic Designer, Creative Assistant && Front End Designer && Media Relations Assistant (intern)","São Paulo, SP","Cruzeiro do Sul University (UNICSUL) São Paulo, SP","2004 to 2007","Bachelor's in Social Communication, Journalism","✅ +7 YOE in web graphic design industry focused on UX including both online and offline media, helping companies to achieve great results, saving time and boosting sales effectively;    ✅ Strong writing skills with a huge sense of objectivity and information clarity, because common words can say uncommon things    ✅ Creative and resourceful, able to adapt priorities maintaining high work ethic    ✅ Significant and precious experience with B2C e-commerce in fashion market, putting design to work for conversions    ✅ Outstanding domain of portuguese language with extensive vocabulary and perfect grammar    ✅ Self-taught and individual entrepreneur since 2010; Web Designer and mid-level PHP developer certified by SENAC Sao Paulo, a 70+ years highly rated professionalizing and fast-training education    ✅ English fluent writing, essential/business proficiency speaking, great vocabulary; English course completed certified by WiseUP Sao Paulo, having specialized in english for business.    ✅ Available for remote/freelance work; hourly rate negotiable; PayPal/Skrill verified account ready."
"16","None","Java (4 years), Android Development (2 years)","DaitanGroup && CAPGEMINI && MARVEL Characters Wiki && CAPGEMINI && CAPGEMINI && DAC ENGENHARIA","I currently work as a Sr. Android Developer in a product focused on a real time communication for an American client. Among  others, I perform the following tasks:  ● Estimate, design, implement, test and document (BPM) new functionalities for the the android app;  ● Build tools and libraries to use together with the application (either in production or during development analysis), creating a  pool to serve other applications as well;  ● Create and maintain Unit and UI tests using Android Testing Support Library (Mockito, PorwerMockito, Espresso, etc);  ● Conduct performance analysis, document results and propose improvements using profiling tools;  ● Care for UX, proposing changes to increase user satisfaction while using the application;  ● Work in a multicultural geographically apart team. Using Agile methodology, our goal is to make POs and clients happy at the end of each sprint;  Employed Technologies: Android Studio, Gradle, Git, Confluence, JIRA && At this position I coordinate Jr and Full seniority developers, helping them on their task of implementing backend functionalities, as well as validating the quality of their work; produce technical documentation and conduct presentations as part of technology transfer processes;  implement back and frontend functionalities in Java; I also helped on the coordination of an offshore cell located in India; && I work as an independent Android Developer producing applications for different contexts. Below is a list of my published works:  Applications: Open-source projects:  ● MARVEL Characters Wiki ● android-user-oboarding: https://github.com/edsilfer/android-user-onboarding  https://goo.gl/72LGUW ● android-search-interface: https://github.com/edsilfer/android-search-interface  ● MovieDB ● android-chip-interface: https://github.com/edsilfer/android-chip-interface    https://github.com/edsilfer/moviedb ● android-list-manager: https://github.com/edsilfer/android-list-manager  ● android-kotlin-support: https://github.com/edsilfer/android-kotlin-support    http://www.linkedin.com/in/edsilfer  Edgar da Silva (+55) 61 9 8199 - 6640  Fernandes fernandes.s.edgar@gmail.com  Problem Solver | Software Engineer Chácaras Primavera, T2 Ap.103 Zip Code:13.087-460  Campinas, SP - Brasil    ● sticky-index: https://github.com/edsilfer/sticky-index  ● custom-searchable: https://github.com/edsilfer/custom-searchable  ● emoji-library: https://github.com/instachat/emoji-library  Employed Technologies/ Frameworks: Android Studio, Eclipse, Gradle, Git, Justinmind, Xtensio, Git, Spring Boot, MySQL; && At this position I've designed and executed a continuous integration environment, using Jenkins; conducted several technical interviews for  Implementation Analyst positions; worked at the implementation of back and frontend functionalities in Java; && At this position I designed (UML and physical model), implemented (Java, SQL, etc) and tested (Unit and Broad Stack Tests) new functionalities for IBM Cúram Social Benefits JEE Application;    Employed Technologies: Java EE e SE, Eclipse RSA), EclEmma, PMD, Jenkins, Sonar, TomCat, DB2 Oracle Visio, SVN, Git, Mockito, Hikari, Spring,  JavaScript, JQuery, Hibernate, WebServices REST; && While working for DAC Engenharia, I have acted on identifying IT's demands inside the company, designing and implementing software aimed to improve its productiveness. My job was not only identifying points of improvement but also to present different solutions to unlock bottlenecks.  Follow there is a brief description of the projects I have worked in DAC:    ● Java SE (Swing) software that allows download management of public resources provided by governmental agencies of Brazil;  ● Java SE (Swing) software that extracts geographical coordinates from pictures, converting them into a highlighted route on a map -  compatible with Google Earth;  ● Java SE (Swing and FX) software that produces reports from a set of data provided by the user. It uses Apache POI libraries to manage  .doc and .pdf files, as well as it integrates with Google Maps API in order to allow the user to retrieve the map location of pictures  included in the software.  Employed Technologies: Eclipse, Netbeans, JSF, Java Standard Edition (JSE) focusing in JavaFX and Java Swing; Google Maps Static and Dynamic  APIs;    http://www.linkedin.com/in/edsilfer  Edgar da Silva (+55) 61 9 8199 - 6640  Fernandes fernandes.s.edgar@gmail.com  Problem Solver | Software Engineer Chácaras Primavera, T2 Ap.103 Zip Code:13.087-460  Campinas, SP - Brasil","October 2016 to Present && March 2016 to Present && January 2015 to Present && January 2015 to February 2016 && January 2014 to December 2014 && July 2013 to December 2013","SOFTWARE ENGINEER && SR TECHNOLOGY CONSULTANT && ANDROID DEVELOPER && TECHNOLOGY CONSULTANT && JR TECHNOLOGY CONSULTANT && JR JAVA DEVELOPER","Campinas, SP","Information Technology Management Institute && Universidade Federal de Itajubá && University of Tennessee Knoxville, TN","2015 to 2016 && 2009 to 2013 && 2012","MBA in Design of Applications for Mobile Devices && Computer Engineering && Computer Engineering / Science Without Borders","My goal is to work with technology projects in all of its different aspects: viability, IT projects, implementations of interfaces between software  and hardware, API's development, Mobile Systems Development, among others."
"17","Additional Information • Cursos Complementares:   Web developer em Java, Coti Informática (abril/2011) - concluída  Curso de C# Básico e Avançado, InfoClad(Fevereiro/2014) - Concluído  Formação DBA Oracle INFNET - Concluido","Inglês Fluente, Espanhol Intermediário na leitura e básico na escrita e na fala. Linguagens de Programação: CSharp, MVC, Java, PHP, CSS e Html. Banco de Dados: Mysql, SQL Server 2008 e Oracle","Avipam Turismo e Tecnologia - Rio de Janeiro, RJ && Nexo CS Informática - Rio de Janeiro, RJ && Sport Nutrition Center SNC - Rio de Janeiro, RJ && F-71 - Rio de Janeiro, RJ && Universidade Candido Mendes - Rio de Janeiro, RJ && Stefanini IT Solutions - Rio de Janeiro, RJ","Responsabilidades  Desenvolvimento C# com ASP.NET de sistemas e serviços Web, utilizando WebForms, MVC,JQuery UI (Biblioteca Javascript), Ajax, CSS, HTML, BootStrap, NodeJS, BackboneJS, mongoDB.   Banco de dados: SQL Server 2008, Mysql e Oracle  IDE: Visual Studio Professional 2012.    Realizações  Reformulação de grande parte da Intranet e também criação do modulo Pedido de cheque com fluxo de aprovação e de sua respectiva área administrativa.  Desenvolvimento de serviços de carga para automatização de relatórios.  Analise de projetos em andamento.    Habilidades  Utilização da tecnologias como JSON, Ajax, BootStrap, Jquery(Domínio da biblioteca JavaScript).  Asp .NET, C#, Oracle (PLSQL), SqlServer e Mysql.    Está em desenvolvimento um API RESTFULL utilizando NodeJS, para posteriormente ser consumida como WebServises. && Responsabilidades  Desenvolvimento C# com ASP.NET de um sistema de atendimento Web, utilizando Interfaces, NHibernate, Injeção de Dependência, Mapeamentos, Sessions, JQuery UI (Biblioteca Javascript), Ajax, CSS, HTML.  Banco de dados: SQL Server 2008, Mysql e Oracle  IDE: Visual Studio Ultimate 2012 && Responsabilidades  Migrar o sistema Web corporativo da linguagem Visual Basic para a CSharp implementando também novas funcionalidades, utilizando tecnologias como JQuery UI (Biblioteca Javascript), Ajax, CSS, HTML.  Banco de dados: SQL Server 2008 R2.  IDE: Visual Studio 2010 Ultimate. && Responsabilidades  Desenvolvimento de Sistemas Web corporativos utilizando a linguagem PHP, CSS, JQuery UI e HTML.  Banco de dados: MySQL.  IDE: NetBeans  Wordpress && Responsável pelo laboratório de informática da mesma, liderando uma equipe com três estagiários, prestando suporte técnico aos softwares e sistemas existentes. Conhecimento em atendimento ao usuário, suporte de hardware, software, redes e impressoras. Conhecimento em montagem e manutenção de equipamentos, configuração e instalação de aplicativos, configuração de redes e impressoras. && Atividades relativas ao Desenvolvimento de Soluções Corporativas (E-Commerce) utilizando a Plataforma Java (J2EE) em conjunto com frameworks como Hibernate, Struts, JSF. Atividades de Manutenção e evolução do Site Comprafacil.com. Realizando codificação e testes de funcionalidades. Uso da IDE Eclipse, Apache Tomcat para testes e servidor JBOSS.","November 2014 to Present && April 2014 to September 2014 && January 2014 to March 2014 && August 2013 to December 2013 && May 2012 to October 2012 && April 2011 to October 2011","Analista de Sistemas Web && Analista de Sistema Trainee && Estagiário Programador C# ASP.NET && Programador PHP Júnior && Técnico de Informática && Programador Java treinee","Rio de Janeiro, RJ","Faculdades Integradas Simonsen Rio de Janeiro, RJ","2010 to 2014","Tecnólogo in Análise e Desenvolvimentos de Sistemas","Atuar na implementação, manutenção e suporte de criação de sistemas e websites."
"21","Additional Information Publicist, 31 years old, programmer of interface UI/UX, art director and web designer. Since 2003 working with I.T. and web development.    Expertises: HTML5, CSS3, JavaScript, AngularJS, JQuery, Photoshop, Illustrator, Flash, Indesign, Final Cut, Action Script, ASP, PHP, MySQL, XCode, Android Studio, Premiere, After Effects, Windows, Mac OS X.","Portugues Native, English professional proficiency, Spanish Elementary proficiency, Italian Elementary proficiency","Falconi I.T. solutions && Senac && Sinduscon && Beweb && StarBit, Microlins, Microcamp","Responsible for developing interfaces for web and mobile applications with a high level of complexity. && Design and develop interfaces for web platforms, with focus on usability and responsive layout. && Design and manage digital content: news, hotsites, e-mail marketing, internal campaigns and others. && Responsible for the direct following with customers to conduct, produce and approve briefings and web campaigns (hotsites, e-mail marketing, landing pages and more). && I started as a trainee in March 2003. Three months later I became a junior instructor. In the following years I also teach in other two different schools.","2014 to Present && 2013 to 2014 && 2010 to 2012 && 2008 to 2010 && 2003 to 2008","Programmer Analyst && Programmer UI/UX && Web master && Art Director && IT Instructor","São Paulo, SP","University Nove de Julho && Technical School Basilides de Godoy && None && None","2016 to 2016 && 2014 to 2014 && 2009 to 2012 && 2004 to 2006","Da Vinci Institute - Italian Grammar and Speech (2016) && Student Exchange Program - Dublin, Ireland (2014) && Bachelor in Marketing and Advertising (Social Communication) && Certificate program in I.T. and Business Management","None"
